Nível,Código,Designação
6,170641,União das freguesias de Venda Nova e Pondras
6,170642,União das freguesias de Viade de Baixo e Fervidelas
6,170643,União das freguesias de Vilar de Perdizes e Meixide
6,170635,Vila da Ponte
5,1709,Ribeira de Pena
6,170901,Alvadia
6,170902,Canedo
6,170906,Santa Marinha
6,170908,União das freguesias de Cerva e Limões
6,170909,União das freguesias de Ribeira de Pena (Salvador) e Santo Aleixo de Além-Tâmega
5,1712,Valpaços
6,171201,Água Revés e Crasto
6,171203,Algeriz
6,171205,Bouçoães
6,171206,Canaveses
6,171232,Carrazedo de Montenegro e Curros
6,171209,Ervões
6,171211,Fornos do Pinhal
6,171212,Friões
6,171233,"Lebução, Fiães e Nozelos"
6,171215,Padrela e Tazem
6,171216,Possacos
6,171217,Rio Torto
6,171219,Santa Maria de Emeres
6,171220,Santa Valha
6,171221,Santiago da Ribeira de Alhariz
6,171222,São João da Corveira
6,171223,São Pedro de Veiga de Lila
6,171224,Serapicos
6,171234,Sonim e Barreiros
6,171235,Tinhela e Alvarelhos
6,171227,Vales
6,171236,Valpaços e Sanfins
6,171229,Vassal
6,171230,Veiga de Lila
6,171231,Vilarandelo
5,1713,Vila Pouca de Aguiar
6,171302,Alfarela de Jales
6,171319,Alvão
6,171303,Bornes de Aguiar
6,171304,Bragado
6,171305,Capeludos
6,171317,Sabroso de Aguiar
6,171310,Soutelo de Aguiar
6,171311,Telões
6,171312,Tresminas
6,171320,União das freguesias de Pensalvos e Parada de Monteiros
6,171313,Valoura
6,171314,Vila Pouca de Aguiar
6,171315,Vreia de Bornes
6,171316,Vreia de Jales
4,11C,Tâmega e Sousa
5,1301,Amarante
6,130103,Ansiães
6,130107,Candemil
6,130112,Fregim
6,130115,Fridão
6,130117,Gondar
6,130134,Gouveia (São Simão)
6,130118,Jazente
6,130119,Lomba
6,130120,Louredo
6,130121,Lufrei
6,130123,Mancelos
6,130126,Padronelo
6,130128,Rebordelo
6,130129,Salvador do Monte
6,130135,Telões
6,130136,Travanca
6,130141,"União das freguesias de Aboadela, Sanche e Várzea"
6,130142,"União das freguesias de Amarante (São Gonçalo), Madalena, Cepelos e Gatão"
6,130143,"União das freguesias de Bustelo, Carneiro e Carvalho de Rei"
6,130144,União das freguesias de Figueiró (Santiago e Santa Cristina)
6,130145,União das freguesias de Freixo de Cima e de Baixo
6,130146,União das freguesias de Olo e Canadelo
6,130148,"União das freguesias de Vila Garcia, Aboim e Chapa"
6,130138,Vila Caiz
6,130139,Vila Chã do Marão
6,130147,Vila Meã
5,1302,Baião
6,130204,Frende
6,130205,Gestaçô
6,130206,Gove
6,130207,Grilo
6,130208,Loivos do Monte
6,130215,Santa Marinha do Zêzere
6,130221,União das freguesias de Ancede e Ribadouro
6,130222,União das freguesias de Baião (Santa Leocádia) e Mesquinhata
6,130223,União das freguesias de Campelo e Ovil
6,130224,União das freguesias de Loivos da Ribeira e Tresouras
6,130225,União das freguesias de Santa Cruz do Douro e São Tomé de Covelas
6,130226,União das freguesias de Teixeira e Teixeiró
6,130219,Valadares
6,130220,Viariz
5,0106,Castelo de Paiva
6,010602,Fornos
6,010606,Real
6,010607,Santa Maria de Sardoura
6,010608,São Martinho de Sardoura
6,010610,"União das freguesias de Raiva, Pedorido e Paraíso"
6,010611,União das freguesias de Sobrado e Bairros
5,0305,Celorico de Basto
6,030501,Agilde
6,030502,Arnóia
6,030520,Basto (São Clemente)
6,030503,Borba de Montanha
6,030508,Codeçoso
6,030510,Fervença
6,030515,Moreira do Castelo
6,030517,Rego
6,030518,Ribas
6,030523,"União das freguesias de Britelo, Gémeos e Ourilhe"
6,030524,União das freguesias de Caçarilhe e Infesta
6,030525,União das freguesias de Canedo de Basto e Corgo
6,030526,União das freguesias de Carvalho e Basto (Santa Tecla)
6,030527,"União das freguesias de Veade, Gagos e Molares"
6,030521,Vale de Bouro
5,1804,Cinfães
6,180403,Cinfães
6,180404,Espadanedo
6,180405,Ferreiros de Tendais
6,180406,Fornelos
6,180408,Moimenta
6,180409,Nespereira
6,180410,Oliveira do Douro
6,180412,Santiago de Piães
6,180413,São Cristóvão de Nogueira
6,180414,Souselo
6,180415,Tarouquela
6,180416,Tendais
6,180417,Travanca
6,180418,"União das freguesias de Alhões, Bustelo, Gralheira e Ramires"
5,1303,Felgueiras
6,130301,Aião
6,130302,Airães
6,130305,Friande
6,130306,Idães
6,130307,Jugueiros
6,130313,Penacova
6,130314,Pinheiro
6,130315,Pombeiro de Ribavizela
6,130317,Refontoura
6,130318,Regilde
6,130319,Revinhade
6,130324,Sendim
6,130334,União das freguesias de Macieira da Lixa e Caramos
6,130335,"União das freguesias de Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure"
6,130336,"União das freguesias de Pedreira, Rande e Sernande"
6,130337,União das freguesias de Torrados e Sousa
6,130338,União das freguesias de Unhão e Lordelo
6,130339,União das freguesias de Vila Cova da Lixa e Borba de Godim
6,130340,União das freguesias de Vila Fria e Vizela (São Jorge)
6,130341,União das freguesias de Vila Verde e Santão
5,1305,Lousada
6,130502,Aveleda
6,130504,Caíde de Rei
6,130510,Lodares
6,130512,Macieira
6,130513,Meinedo
6,130515,Nevogilde
6,130524,Sousela
6,130525,Torno
6,130527,União das freguesias de Cernadelo e Lousada (São Miguel e Santa Margarida)
6,130528,"União das freguesias de Cristelos, Boim e Ordem"
6,130529,União das freguesias de Figueiras e Covas
6,130530,União das freguesias de Lustosa e Barrosas (Santo Estêvão)
6,130531,União das freguesias de Nespereira e Casais
6,130532,"União das freguesias de Silvares, Pias, Nogueira e Alvarenga"
6,130526,Vilar do Torno e Alentém
5,1307,Marco de Canaveses
6,130732,"Alpendorada, Várzea e Torrão"
6,130733,Avessadas e Rosém
6,130704,Banho e Carvalhosa
6,130734,Bem Viver
6,130705,Constance
6,130736,Marco
6,130737,Paredes de Viadores e Manhuncelos
6,130738,Penha Longa e Paços de Gaiolo
6,130739,Sande e São Lourenço do Douro
6,130735,Santo Isidoro e Livração
6,130722,Soalhães
6,130723,Sobretâmega
6,130724,Tabuado
6,130740,"Várzea, Aliviada e Folhada"
6,130741,Vila Boa de Quires e Maureles
6,130730,Vila Boa do Bispo
5,1309,Paços de Ferreira
6,130902,Carvalhosa
6,130904,Eiriz
6,130905,Ferreira
6,130906,Figueiró
6,130917,Frazão Arreigada
6,130908,Freamunde
6,130910,Meixomil
6,130918,Paços de Ferreira
6,130913,Penamaior
6,130914,Raimonda
6,130919,Sanfins Lamoso Codessos
6,130916,Seroa
5,1311,Penafiel
6,131101,Abragão
6,131102,Boelhe
6,131103,Bustelo
6,131104,Cabeça Santa
6,131105,Canelas
6,131106,Capela
6,131107,Castelões
6,131108,Croca
6,131109,Duas Igrejas
6,131110,Eja
6,131112,Fonte Arcada
6,131113,Galegos
6,131141,Guilhufe e Urrô
6,131115,Irivo
6,131142,Lagares e Figueira
6,131140,Luzim e Vila Cova
6,131121,Oldrões
6,131122,Paço de Sousa
6,131139,Penafiel
6,131125,Perozelo
6,131128,Rans
6,131132,Recezinhos (São Mamede)
6,131133,Recezinhos (São Martinho)
6,131129,Rio de Moinhos
6,131138,Rio Mau
6,131134,Sebolido
6,131143,Termas de São Vicente
6,131136,Valpedre
5,1813,Resende
6,181302,Barrô
6,181303,Cárquere
6,181310,Paus
6,181311,Resende
6,181312,São Cipriano
6,181313,São João de Fontoura
6,181314,São Martinho de Mouros
6,181316,União das freguesias de Anreade e São Romão de Aregos
6,181317,União das freguesias de Felgueiras e Feirão
6,181318,União das freguesias de Freigil e Miomães
6,181319,União das freguesias de Ovadas e Panchorra
4,11D,Douro
5,1701,Alijó
6,170101,Alijó
6,170107,Favaios
6,170108,Pegarinhos
6,170109,Pinhão
6,170112,Sanfins do Douro
6,170113,Santa Eugénia
6,170114,São Mamede de Ribatua
6,170120,União das freguesias de Carlão e Amieiro
6,170121,União das freguesias de Castedo e Cotas
6,170122,União das freguesias de Pópulo e Ribalonga
6,170123,"União das freguesias de Vale de Mendiz, Casal de Loivos e Vilarinho de Cotas"
6,170116,Vila Chã
6,170117,Vila Verde
6,170118,Vilar de Maçada
5,1801,Armamar
6,180101,Aldeias
6,180120,Armamar
6,180104,Cimbres
6,180106,Folgosa
6,180107,Fontelo
6,180109,Queimada
6,180110,Queimadela
6,180111,Santa Cruz
6,180114,São Cosmado
6,180115,São Martinho das Chãs
6,180121,União das freguesias de Aricera e Goujoim
6,180122,União das freguesias de São Romão e Santiago
6,180123,União das freguesias de Vila Seca e Santo Adrião
6,180118,Vacalar
5,0403,Carrazeda de Ansiães
6,040304,Carrazeda de Ansiães
6,040306,Fonte Longa
6,040308,Linhares
6,040309,Marzagão
6,040311,Parambos
6,040312,Pereiros
6,040313,Pinhal do Norte
6,040314,Pombal
6,040316,Seixo de Ansiães
6,040320,União das freguesias de Amedo e Zedes
6,040321,União das freguesias de Belver e Mogo de Malta
6,040322,União das freguesias de Castanheiro do Norte e Ribalonga
6,040323,"União das freguesias de Lavandeira, Beira Grande e Selores"
6,040318,Vilarinho da Castanheira
5,0404,Freixo de Espada à Cinta
6,040404,Ligares
6,040406,Poiares
6,040407,União das freguesias de Freixo de Espada à Cinta e Mazouco
6,040408,União das freguesias de Lagoaça e Fornos
5,1805,Lamego
6,180502,Avões
6,180504,Britiande
6,180505,Cambres
6,180507,Ferreirim
6,180508,Ferreiros de Avões
6,180509,Figueira
6,180510,Lalim
6,180525,Lamego (Almacave e Sé)
6,180511,Lazarim
6,180516,Penajóia
6,180517,Penude
6,180519,Samodães
6,180520,Sande
6,180526,"União das freguesias de Bigorne, Magueija e Pretarouca"
6,180527,"União das freguesias de Cepões, Meijinhos e Melcões"
6,180528,União das freguesias de Parada do Bispo e Valdigem
6,180523,Várzea de Abrunhais
6,180524,Vila Nova de Souto d'El-Rei
5,1704,Mesão Frio
6,170401,Barqueiros
6,170402,Cidadelhe
6,170408,Mesão Frio (Santo André)
6,170403,Oliveira
6,170407,Vila Marim
5,1807,Moimenta da Beira
6,180702,Alvite
6,180703,Arcozelos
6,180705,Baldos
6,180706,Cabaços
6,180707,Caria
6,180708,Castelo
6,180709,Leomil
6,180710,Moimenta da Beira
6,180713,Passô
6,180717,Sarzedo
6,180719,Sever
6,180721,União das freguesias de Paradinha e Nagosa
6,180722,"União das freguesias de Pêra Velha, Aldeia de Nacomba e Ariz"
6,180723,União das freguesias de Peva e Segões
6,180716,Vila da Rua
6,180720,Vilar
5,1707,Murça
6,170701,Candedo
6,170703,Fiolhoso
6,170704,Jou
6,170705,Murça
6,170710,União das freguesias de Carva e Vilares
6,170711,União das freguesias de Noura e Palheiros
6,170708,Valongo de Milhais
5,1812,Penedono
6,181202,Beselga
6,181203,Castainço
6,181207,Penela da Beira
6,181208,Póvoa de Penela
6,181209,Souto
6,181210,União das freguesias de Antas e Ourozinho
6,181211,União das freguesias de Penedono e Granja
5,1708,Peso da Régua
6,170802,Fontelas
6,170805,Loureiro
6,170809,Sedielos
6,170813,União das freguesias de Galafura e Covelinhas
6,170814,União das freguesias de Moura Morta e Vinhós
6,170815,União das freguesias de Peso da Régua e Godim
6,170816,União das freguesias de Poiares e Canelas
6,170810,Vilarinho dos Freires
5,1710,Sabrosa
6,171001,Celeirós
6,171002,Covas do Douro
6,171004,Gouvinhas
6,171007,Paços
6,171005,Parada de Pinhão
6,171009,Sabrosa
6,171011,São Lourenço de Ribapinhão
6,171013,Souto Maior
6,171014,Torre do Pinhão
6,171016,"União das freguesias de Provesende, Gouvães do Douro e São Cristóvão do Douro"
6,171017,União das freguesias de São Martinho de Antas e Paradela de Guiães
6,171015,Vilarinho de São Romão
5,1711,Santa Marta de Penaguião
6,171101,Alvações do Corgo
6,171102,Cumieira
6,171103,Fontes
6,171106,Medrões
6,171110,Sever
6,171111,União das freguesias de Lobrigos (São Miguel e São João Baptista) e Sanhoane
6,171112,União das freguesias de Louredo e Fornelos
5,1815,São João da Pesqueira
6,181501,Castanheiro do Sul
6,181502,Ervedosa do Douro
6,181504,Nagozelo do Douro
6,181505,Paredes da Beira
6,181507,Riodades
6,181509,Soutelo do Douro
6,181515,União das freguesias de São João da Pesqueira e Várzea de Trevões
6,181516,União das freguesias de Trevões e Espinhosa
6,181517,União das freguesias de Vilarouco e Pereiros
6,181511,Vale de Figueira
6,181512,Valongo dos Azeites
5,1818,Sernancelhe
6,181801,Arnas
6,181802,Carregal
6,181803,Chosendo
6,181804,Cunha
6,181806,Faia
6,181810,Granjal
6,181811,Lamosa
6,181814,Quintela
6,181818,União das freguesias de Ferreirim e Macieira
6,181819,União das freguesias de Fonte Arcada e Escurquela
6,181820,União das freguesias de Penso e Freixinho
6,181821,União das freguesias de Sernancelhe e Sarzeda
6,181817,Vila da Ponte
5,1819,Tabuaço
6,181901,Adorigo
6,181902,Arcos
6,181904,Chavães
6,181905,Desejosa
6,181906,Granja do Tedo
6,181908,Longa
6,181913,Sendim
6,181914,Tabuaço
6,181918,União das freguesias de Barcos e Santa Leocádia
6,181919,União das freguesias de Paradela e Granjinha
6,181920,União das freguesias de Pinheiros e Vale de Figueira
6,181921,União das freguesias de Távora e Pereiro
6,181917,Valença do Douro
5,1820,Tarouca
6,182004,Mondim da Beira
6,182005,Salzedas
6,182006,São João de Tarouca
6,182011,União das freguesias de Gouviães e Ucanha
6,182012,União das freguesias de Granja Nova e Vila Chã da Beira
6,182013,União das freguesias de Tarouca e Dálvares
6,182009,Várzea da Serra
5,0409,Torre de Moncorvo
6,040901,Açoreira
6,040903,Cabeça Boa
6,040905,Carviçais
6,040906,Castedo
6,040909,Horta da Vilariça
6,040910,Larinho
6,040911,Lousa
6,040913,Mós
6,040916,Torre de Moncorvo
6,040918,União das freguesias de Adeganha e Cardanha
6,040919,União das freguesias de Felgar e Souto da Velha
6,040920,União das freguesias de Felgueiras e Maçores
6,040921,União das freguesias de Urros e Peredo dos Castelhanos
5,0914,Vila Nova de Foz Côa
6,091401,Almendra
6,091402,Castelo Melhor
6,091403,Cedovim
6,091404,Chãs
6,091405,Custóias
6,091418,Freixo de Numão
6,091407,Horta
6,091410,Muxagata
6,091411,Numão
6,091412,Santa Comba
6,091414,Sebadelhe
6,091415,Seixas
6,091416,Touça
6,091419,Vila Nova de Foz Côa
5,1714,Vila Real
6,171401,Abaças
6,171403,Andrães
6,171404,Arroios
6,171406,Campeã
6,171409,Folhadela
6,171410,Guiães
6,171414,Lordelo
6,171415,Mateus
6,171416,Mondrões
6,171420,Parada de Cunhos
6,171426,Torgueda
6,171431,União das freguesias de Adoufe e Vilarinho de Samardã
6,171432,União das freguesias de Borbela e Lamas de Olo
6,171433,União das freguesias de Constantim e Vale de Nogueiras
6,171434,União das freguesias de Mouçós e Lamares
6,171435,União das freguesias de Nogueira e Ermida
6,171436,"União das freguesias de Pena, Quintã e Vila Cova"
6,171437,União das freguesias de São Tomé do Castelo e Justes
6,171429,Vila Marim
6,171438,Vila Real
4,11E,Terras de Trás-os-Montes
5,0401,Alfândega da Fé
6,040102,Alfândega da Fé
6,040103,Cerejais
6,040111,Sambade
6,040121,"União das freguesias de Agrobom, Saldonha e Vale Pereiro"
6,040122,"União das freguesias de Eucisia, Gouveia e Valverde"
6,040123,União das freguesias de Ferradosa e Sendim da Serra
6,040124,União das freguesias de Gebelim e Soeima
6,040125,União das freguesias de Parada e Sendim da Ribeira
6,040126,União das freguesias de Pombal e Vales
6,040118,Vilar Chão
6,040119,Vilarelhos
6,040120,Vilares de Vilariça
5,0402,Bragança
6,040201,Alfaião
6,040203,Babe
6,040204,Baçal
6,040206,Carragosa
6,040209,Castro de Avelãs
6,040210,Coelhoso
6,040212,Donai
6,040213,Espinhosela
6,040215,França
6,040216,Gimonde
6,040217,Gondesende
6,040218,Gostei
6,040219,Grijó de Parada
6,040221,Macedo do Mato
6,040224,Mós
6,040225,Nogueira
6,040226,Outeiro
6,040229,Parâmio
6,040230,Pinela
6,040232,Quintanilha
6,040233,Quintela de Lampaças
6,040234,Rabal
6,040236,Rebordãos
6,040239,Salsas
6,040240,Samil
6,040241,Santa Comba de Rossas
6,040244,São Pedro de Sarracenos
6,040246,Sendas
6,040247,Serapicos
6,040248,Sortes
6,040250,União das freguesias de Aveleda e Rio de Onor
6,040251,União das freguesias de Castrelos e Carrazedo
6,040252,"União das freguesias de Izeda, Calvelhe e Paradinha Nova"
6,040253,União das freguesias de Parada e Faílde
6,040254,União das freguesias de Rebordainhos e Pombares
6,040255,União das freguesias de Rio Frio e Milhão
6,040256,União das freguesias de São Julião de Palácios e Deilão
6,040257,"União das freguesias de Sé, Santa Maria e Meixedo"
6,040249,Zoio
5,0405,Macedo de Cavaleiros
6,040502,Amendoeira
6,040503,Arcas
6,040507,Carrapatas
6,040509,Chacim
6,040510,Cortiços
6,040511,Corujas
6,040514,Ferreira
6,040515,Grijó
6,040516,Lagoa
6,040517,Lamalonga
6,040518,Lamas
6,040519,Lombo
6,040520,Macedo de Cavaleiros
6,040521,Morais
6,040523,Olmos
6,040524,Peredo
6,040526,Salselas
6,040528,Sezulfe
6,040530,Talhas
6,040539,União das freguesias de Ala e Vilarinho do Monte
6,040540,União das freguesias de Bornes e Burga
6,040541,União das freguesias de Castelãos e Vilar do Monte
6,040542,"União das freguesias de Espadanedo, Edroso, Murçós e Soutelo Mourisco"
6,040543,União das freguesias de Podence e Santa Combinha
6,040544,União das freguesias de Talhinhas e Bagueixe
6,040532,Vale Benfeito
6,040533,Vale da Porca
6,040534,Vale de Prados
6,040536,Vilarinho de Agrochão
6,040538,Vinhas
5,0406,Miranda do Douro
6,040604,Duas Igrejas
6,040605,Genísio
6,040607,Malhadas
6,040608,Miranda do Douro
6,040609,Palaçoulo
6,040611,Picote
6,040612,Póvoa
6,040613,São Martinho de Angueira
6,040618,União das freguesias de Constantim e Cicouro
6,040619,União das freguesias de Ifanes e Paradela
6,040620,União das freguesias de Sendim e Atenor
6,040621,União das freguesias de Silva e Águas Vivas
6,040616,Vila Chã de Braciosa
5,0407,Mirandela
6,040701,Abambres
6,040702,Abreiro
6,040703,Aguieiras
6,040704,Alvites
6,040708,Bouça
6,040709,Cabanelas
6,040710,Caravelas
6,040711,Carvalhais
6,040712,Cedães
6,040713,Cobro
6,040714,Fradizela
6,040716,Frechas
6,040718,Lamas de Orelhão
6,040720,Mascarenhas
6,040721,Mirandela
6,040722,Múrias
6,040724,Passos
6,040727,São Pedro Velho
6,040728,São Salvador
6,040729,Suçães
6,040730,Torre de Dona Chama
6,040738,União das freguesias de Avantos e Romeu
6,040739,"União das freguesias de Avidagos, Navalho e Pereira"
6,040740,"União das freguesias de Barcel, Marmelos e Valverde da Gestosa"
6,040741,União das freguesias de Franco e Vila Boa
6,040742,União das freguesias de Freixeda e Vila Verde
6,040731,Vale de Asnes
6,040732,Vale de Gouvinhas
6,040733,Vale de Salgueiro
6,040734,Vale de Telhas
5,0408,Mogadouro
6,040801,Azinhoso
6,040802,Bemposta
6,040803,Bruçó
6,040804,Brunhoso
6,040807,Castelo Branco
6,040808,Castro Vicente
6,040809,Meirinhos
6,040811,Paradela
6,040812,Penas Roias
6,040813,Peredo da Bemposta
6,040815,Saldanha
6,040817,São Martinho do Peso
6,040819,Tó
6,040820,Travanca
6,040829,"União das freguesias de Brunhozinho, Castanheira e Sanhoane"
6,040830,"União das freguesias de Mogadouro, Valverde, Vale de Porco e Vilar de Rei"
6,040831,União das freguesias de Remondes e Soutelo
6,040832,União das freguesias de Vilarinho dos Galegos e Ventozelo
6,040821,Urrós
6,040822,Vale da Madre
6,040826,Vila de Ala
5,0410,Vila Flor
6,041002,Benlhevai
6,041005,Freixiel
6,041009,Roios
6,041010,Samões
6,041011,Sampaio
6,041012,Santa Comba de Vilariça
6,041013,Seixo de Manhoses
6,041014,Trindade
6,041020,União das freguesias de Assares e Lodões
6,041021,União das freguesias de Candoso e Carvalho de Egas
6,041022,União das freguesias de Valtorno e Mourão
6,041023,União das freguesias de Vila Flor e Nabo
6,041024,União das freguesias de Vilas Boas e Vilarinho das Azenhas
6,041015,Vale Frechoso
5,0411,Vimioso
6,041103,Argozelo
6,041107,Carção
6,041108,Matela
6,041109,Pinelo
6,041110,Santulhão
6,041115,"União das freguesias de Algoso, Campo de Víboras e Uva"
6,041116,União das freguesias de Caçarelhos e Angueira
6,041117,União das freguesias de Vale de Frades e Avelanoso
6,041113,Vilar Seco
6,041114,Vimioso
5,0412,Vinhais
6,041201,Agrochão
6,041203,Candedo
6,041204,Celas
6,041206,Edral
6,041207,Edrosa
6,041208,Ervedosa
6,041215,Paçó
6,041216,Penhas Juntas
6,041219,Rebordelo
6,041221,Santalha
6,041226,Tuizelo
6,041236,União das freguesias de Curopos e Vale de Janeiro
6,041237,União das freguesias de Moimenta e Montouto
6,041238,União das freguesias de Nunes e Ousilhão
6,041239,União das freguesias de Quirás e Pinheiro Novo
6,041240,União das freguesias de Sobreiro de Baixo e Alvaredos
6,041241,"União das freguesias de Soeira, Fresulfe e Mofreita"
6,041242,União das freguesias de Travanca e Santa Cruz
6,041243,União das freguesias de Vilar de Lomba e São Jomil
6,041227,Vale das Fontes
6,041229,Vila Boa de Ousilhão
6,041230,Vila Verde
6,041232,Vilar de Ossos
6,041233,Vilar de Peregrinos
6,041234,Vilar Seco de Lomba
6,041235,Vinhais
3,16,Centro
4,16B,Oeste
5,1001,Alcobaça
6,100102,Alfeizerão
6,100120,Aljubarrota
6,100104,Bárrio
6,100105,Benedita
6,100106,Cela
6,100108,Évora de Alcobaça
6,100109,Maiorga
6,100112,São Martinho do Porto
6,100114,Turquel
6,100121,União das freguesias de Alcobaça e Vestiaria
6,100122,"União das freguesias de Coz, Alpedriz e Montes"
6,100123,União das freguesias de Pataias e Martingança
6,100116,Vimeiro
5,1101,Alenquer
6,110106,Carnota
6,110107,Meca
6,110108,Olhalvo
6,110109,Ota
6,110117,União das freguesias de Abrigada e Cabanas de Torres
6,110118,União das freguesias de Aldeia Galega da Merceana e Aldeia Gavinha
6,110119,União das freguesias de Alenquer (Santo Estêvão e Triana)
6,110120,União das freguesias de Carregado e Cadafais
6,110121,União das freguesias de Ribafria e Pereiro de Palhacana
6,110113,Ventosa
6,110114,Vila Verde dos Francos
5,1102,Arruda dos Vinhos
6,110201,Arranhó
6,110202,Arruda dos Vinhos
6,110203,Cardosas
6,110204,S. Tiago dos Velhos
5,1005,Bombarral
6,100502,Carvalhal
6,100505,Pó
6,100503,Roliça
6,100506,União das freguesias do Bombarral e Vale Covo
5,1104,Cadaval
6,110401,Alguber
6,110407,Peral
6,110412,União das freguesias de Lamas e Cercal
6,110413,União das freguesias de Painho e Figueiros
6,110411,União das freguesias do Cadaval e Pêro Moniz
6,110409,Vermelha
6,110410,Vilar
5,1006,Caldas da Rainha
6,100601,A dos Francos
6,100602,Alvorninha
6,100604,Carvalhal Benfeito
6,100606,Foz do Arelho
6,100607,Landal
6,100608,Nadadouro
6,100609,Salir de Matos
6,100611,Santa Catarina
6,100617,"União das freguesias de Caldas da Rainha - Nossa Senhora do Pópulo, Coto e São Gregório"
6,100618,União das freguesias de Caldas da Rainha - Santo Onofre e Serra do Bouro
6,100619,União das freguesias de Tornada e Salir do Porto
6,100615,Vidais
5,1108,Lourinhã
6,110803,Moita dos Ferreiros
6,110805,Reguengo Grande
6,110810,Ribamar
6,110806,Santa Bárbara
6,110812,União das freguesias de Lourinhã e Atalaia
6,110813,União das freguesias de Miragaia e Marteleira
6,110814,União das freguesias de São Bartolomeu dos Galegos e Moledo
6,110808,Vimeiro
5,1011,Nazaré
6,101101,Famalicão
6,101102,Nazaré
6,101103,Valado dos Frades
5,1012,Óbidos
6,101201,A dos Negros
6,101202,Amoreira
6,101208,Gaeiras
6,101203,Olho Marinho
6,101210,"Santa Maria, São Pedro e Sobral da Lagoa"
6,101209,Usseira
6,101207,Vau
5,1014,Peniche
6,101402,Atouguia da Baleia
6,101406,Ferrel
6,101407,Peniche
6,101405,Serra d'El-Rei
5,1112,Sobral de Monte Agraço
6,111201,Santo Quintino
6,111202,Sapataria
6,111203,Sobral de Monte Agraço
5,1113,Torres Vedras
6,111306,Freiria
6,111310,Ponte do Rol
6,111311,Ramalhal
6,111326,"Santa Maria, São Pedro e Matacães"
6,111314,São Pedro da Cadeira
6,111316,Silveira
6,111317,Turcifal
6,111321,União das freguesias de A dos Cunhados e Maceira
6,111322,União das freguesias de Campelos e Outeiro da Cabeça
6,111323,União das freguesias de Carvoeira e Carmões
6,111324,União das freguesias de Dois Portos e Runa
6,111325,União das freguesias de Maxial e Monte Redondo
6,111318,Ventosa
4,16D,Região de Aveiro
5,0101,Águeda
6,010103,Aguada de Cima
6,010109,Fermentelos
6,010112,Macinhata do Vouga
6,010121,União das freguesias de Águeda e Borralha
6,010122,União das freguesias de Barrô e Aguada de Baixo
6,010123,"União das freguesias de Belazaima do Chão, Castanheira do Vouga e Agadão"
6,010124,União das freguesias de Recardães e Espinhel
6,010125,União das freguesias de Travassô e Óis da Ribeira
6,010126,"União das freguesias de Trofa, Segadães e Lamas do Vouga"
6,010127,União das freguesias do Préstimo e Macieira de Alcoba
6,010119,Valongo do Vouga
5,0102,Albergaria-a-Velha
6,010209,Albergaria-a-Velha e Valmaior
6,010202,Alquerubim
6,010203,Angeja
6,010204,Branca
6,010206,Ribeira de Fráguas
6,010210,São João de Loure e Frossos
5,0103,Anadia
6,010304,Avelãs de Caminho
6,010305,Avelãs de Cima
6,010307,Moita
6,010309,Sangalhos
6,010310,São Lourenço do Bairro
6,010316,"União das freguesias de Amoreira da Gândara, Paredes do Bairro e Ancas"
6,010317,União das freguesias de Arcos e Mogofores
6,010318,"União das freguesias de Tamengos, Aguim e Óis do Bairro"
6,010312,Vila Nova de Monsarros
6,010313,Vilarinho do Bairro
5,0105,Aveiro
6,010501,Aradas
6,010502,Cacia
6,010515,Eixo e Eirol
6,010505,Esgueira
6,010508,Oliveirinha
6,010516,"Requeixo, Nossa Senhora de Fátima e Nariz"
6,010513,Santa Joana
6,010510,São Bernardo
6,010511,São Jacinto
6,010517,União das freguesias de Glória e Vera Cruz
5,0108,Estarreja
6,010801,Avanca
6,010805,Pardilhó
6,010806,Salreu
6,010808,União das freguesias de Beduído e Veiros
6,010809,União das freguesias de Canelas e Fermelã
5,0110,Ílhavo
6,011005,Gafanha da Encarnação
6,011006,Gafanha da Nazaré
6,011007,Gafanha do Carmo
6,011008,Ílhavo (São Salvador)
5,0112,Murtosa
6,011201,Bunheiro
6,011202,Monte
6,011203,Murtosa
6,011204,Torreira
5,0114,Oliveira do Bairro
6,011403,Oiã
6,011404,Oliveira do Bairro
6,011405,Palhaça
6,011407,"União das freguesias de Bustos, Troviscal e Mamarrosa"
5,0115,Ovar
6,011502,Cortegaça
6,011503,Esmoriz
6,011504,Maceda
6,011509,"União das freguesias de Ovar, São João, Arada e São Vicente de Pereira Jusã"
6,011507,Válega
5,0117,Sever do Vouga
6,011702,Couto de Esteves
6,011704,Pessegueiro do Vouga
6,011705,Rocas do Vouga
6,011706,Sever do Vouga
6,011708,Talhadas
6,011710,União das freguesias de Cedrim e Paradela
6,011711,União das freguesias de Silva Escura e Dornelas
5,0118,Vagos
6,011801,Calvão
6,011804,Gafanha da Boa Hora
6,011805,Ouca
6,011810,Santo André de Vagos
6,011807,Sosa
6,011812,União das freguesias de Fonte de Angeão e Covão do Lobo
6,011813,União das freguesias de Ponte de Vagos e Santa Catarina
6,011814,União das freguesias de Vagos e Santo António
4,16E,Região de Coimbra
5,0601,Arganil
6,060102,Arganil
6,060104,Benfeita
6,060105,Celavisa
6,060109,Folques
6,060111,Piódão
6,060112,Pomares
6,060113,Pombeiro da Beira
6,060114,São Martinho da Cortiça
6,060115,Sarzedo
6,060116,Secarias
6,060119,União das freguesias de Cepos e Teixeira
