,territoryName,null_votes,blank_votes,PPD/PSD.CDS-PP.PPM,PS,CH,B.E.,IL,ADN,L,PAN,PCP-PEV,VP,E,JPP,R.I.R.,ND,PCTP/MRPP,MPT.A,NC,PTP,PPD/PSD.CDS-PP,PPM
LOCAL-101407,Peniche,70,124,1456.0,2109.0,1606.0,325.0,299.0,82.0,195.0,140.0,409.0,15.0,11.0,,48.0,9.0,,5.0,,,,
LOCAL-101405,Serra d'El-Rei,16,23,207.0,213.0,182.0,25.0,41.0,11.0,22.0,17.0,39.0,0.0,1.0,,6.0,4.0,,1.0,,,,
LOCAL-101501,Abiul,17,18,619.0,141.0,261.0,26.0,33.0,33.0,9.0,9.0,11.0,1.0,0.0,,13.0,6.0,,2.0,,,,
LOCAL-101503,Almagreira,14,37,697.0,292.0,345.0,46.0,85.0,31.0,26.0,16.0,11.0,0.0,1.0,,9.0,6.0,,2.0,,,,
LOCAL-101504,Carnide,9,18,517.0,75.0,246.0,14.0,44.0,27.0,8.0,13.0,7.0,0.0,0.0,,4.0,4.0,,0.0,,,,
LOCAL-101505,Carriço,37,45,738.0,386.0,437.0,53.0,110.0,44.0,27.0,17.0,16.0,3.0,4.0,,16.0,8.0,,5.0,,,,
LOCAL-101518,"Guia, Ilha e Mata Mourisca",59,74,1664.0,593.0,690.0,118.0,166.0,94.0,60.0,59.0,31.0,10.0,4.0,,14.0,11.0,,7.0,,,,
LOCAL-101506,Louriçal,54,70,1018.0,439.0,498.0,109.0,105.0,63.0,50.0,46.0,35.0,8.0,6.0,,9.0,9.0,,5.0,,,,
LOCAL-101515,Meirinhas,11,17,504.0,88.0,249.0,17.0,81.0,27.0,11.0,8.0,7.0,3.0,2.0,,4.0,2.0,,0.0,,,,
LOCAL-101508,Pelariga,14,13,459.0,224.0,258.0,43.0,48.0,23.0,24.0,12.0,10.0,2.0,0.0,,7.0,3.0,,2.0,,,,
LOCAL-101509,Pombal,112,235,3225.0,1984.0,1856.0,408.0,539.0,153.0,263.0,158.0,143.0,21.0,10.0,,29.0,23.0,,11.0,,,,
LOCAL-101510,Redinha,13,22,407.0,291.0,239.0,26.0,52.0,25.0,17.0,16.0,8.0,3.0,0.0,,7.0,3.0,,2.0,,,,
LOCAL-101519,Santiago e S.Simão de Litém e Albergaria dos Doze,34,65,1023.0,517.0,489.0,82.0,138.0,71.0,66.0,38.0,43.0,14.0,4.0,,9.0,12.0,,1.0,,,,
LOCAL-101513,Vermoil,13,38,644.0,235.0,342.0,32.0,98.0,41.0,19.0,14.0,24.0,5.0,1.0,,8.0,5.0,,1.0,,,,
LOCAL-101514,Vila Cã,13,19,397.0,98.0,168.0,19.0,32.0,15.0,6.0,11.0,13.0,0.0,2.0,,13.0,3.0,,4.0,,,,
LOCAL-101602,Alqueidão da Serra,20,25,376.0,223.0,142.0,57.0,65.0,20.0,33.0,14.0,16.0,1.0,2.0,,5.0,5.0,,0.0,,,,
LOCAL-101615,Alvados e Alcaria,6,3,263.0,56.0,81.0,13.0,22.0,10.0,13.0,2.0,6.0,1.0,0.0,,2.0,1.0,,0.0,,,,
LOCAL-101616,Arrimal e Mendiga,19,17,468.0,132.0,266.0,33.0,54.0,19.0,17.0,6.0,7.0,1.0,3.0,,6.0,2.0,,0.0,,,,
LOCAL-101605,Calvaria de Cima,20,27,452.0,315.0,367.0,71.0,74.0,22.0,21.0,40.0,32.0,1.0,2.0,,12.0,3.0,,2.0,,,,
LOCAL-101606,Juncal,31,38,640.0,456.0,445.0,70.0,113.0,44.0,47.0,29.0,27.0,1.0,2.0,,12.0,8.0,,3.0,,,,
LOCAL-101608,Mira de Aire,34,19,539.0,533.0,507.0,75.0,136.0,25.0,34.0,34.0,43.0,5.0,1.0,,6.0,6.0,,1.0,,,,
LOCAL-101609,Pedreiras,14,34,533.0,353.0,388.0,56.0,100.0,25.0,37.0,26.0,31.0,5.0,2.0,,5.0,6.0,,2.0,,,,
LOCAL-101614,Porto de Mós - São João Baptista e São Pedro,39,70,1396.0,755.0,765.0,121.0,202.0,66.0,91.0,48.0,44.0,16.0,5.0,,7.0,7.0,,3.0,,,,
LOCAL-101610,São Bento,16,4,232.0,37.0,146.0,13.0,12.0,17.0,7.0,6.0,5.0,2.0,0.0,,0.0,0.0,,1.0,,,,
LOCAL-101613,Serro Ventoso,8,12,228.0,66.0,184.0,14.0,33.0,23.0,11.0,7.0,5.0,1.0,2.0,,2.0,0.0,,0.0,,,,
LOCAL-110117,Abrigada e Cabanas de Torres,28,46,526.0,851.0,471.0,117.0,91.0,53.0,77.0,27.0,221.0,6.0,2.0,5.0,17.0,6.0,31.0,0.0,,3.0,,
LOCAL-110118,Aldeia Galega da Merceana e Aldeia Gavinha,20,34,381.0,522.0,393.0,84.0,73.0,26.0,55.0,28.0,103.0,1.0,3.0,3.0,4.0,1.0,9.0,3.0,,4.0,,
LOCAL-110119,Alenquer (Santo Estêvão e Triana),70,104,1782.0,1956.0,1650.0,364.0,502.0,127.0,331.0,155.0,361.0,14.0,6.0,6.0,26.0,11.0,28.0,12.0,,4.0,,
LOCAL-110106,Carnota,4,21,225.0,285.0,241.0,45.0,41.0,16.0,20.0,16.0,62.0,1.0,3.0,0.0,11.0,4.0,7.0,1.0,,2.0,,
LOCAL-110120,Carregado e Cadafais,70,96,1309.0,1808.0,1871.0,376.0,379.0,105.0,261.0,169.0,339.0,20.0,5.0,8.0,19.0,23.0,39.0,9.0,,10.0,,
LOCAL-110107,Meca,17,14,194.0,384.0,193.0,43.0,37.0,21.0,23.0,12.0,92.0,0.0,0.0,2.0,5.0,2.0,10.0,0.0,,3.0,,
LOCAL-110108,Olhalvo,6,12,298.0,391.0,242.0,45.0,43.0,25.0,37.0,10.0,71.0,4.0,2.0,3.0,11.0,1.0,12.0,0.0,,2.0,,
LOCAL-110109,Ota,6,8,162.0,202.0,205.0,32.0,29.0,7.0,18.0,16.0,53.0,0.0,0.0,0.0,2.0,4.0,3.0,1.0,,1.0,,
LOCAL-110121,Ribafria e Pereiro de Palhacana,12,10,196.0,307.0,223.0,44.0,36.0,18.0,30.0,26.0,40.0,1.0,0.0,2.0,3.0,3.0,6.0,0.0,,3.0,,
LOCAL-110113,Ventosa,20,12,305.0,435.0,246.0,43.0,54.0,33.0,26.0,13.0,47.0,3.0,0.0,2.0,6.0,0.0,5.0,1.0,,3.0,,
LOCAL-110114,Vila Verde dos Francos,8,9,142.0,202.0,137.0,24.0,23.0,15.0,12.0,15.0,14.0,1.0,1.0,1.0,6.0,2.0,5.0,0.0,,0.0,,
LOCAL-111513,Águas Livres,273,182,4023.0,7125.0,2980.0,1104.0,1021.0,262.0,888.0,516.0,839.0,42.0,23.0,12.0,40.0,32.0,71.0,22.0,,24.0,,
LOCAL-111512,Alfragide,103,94,3175.0,2691.0,1507.0,472.0,762.0,120.0,648.0,235.0,288.0,9.0,8.0,2.0,18.0,19.0,27.0,5.0,,8.0,,
LOCAL-111514,Encosta do Sol,194,146,2620.0,5039.0,2518.0,722.0,595.0,193.0,589.0,330.0,639.0,27.0,14.0,10.0,32.0,36.0,48.0,10.0,,21.0,,
LOCAL-111515,Falagueira-Venda Nova,119,118,1986.0,4105.0,1785.0,645.0,516.0,130.0,503.0,271.0,551.0,18.0,9.0,7.0,30.0,23.0,51.0,9.0,,11.0,,
LOCAL-111516,Mina de Água,292,281,4639.0,7636.0,4735.0,1227.0,1298.0,337.0,1031.0,680.0,922.0,42.0,14.0,13.0,60.0,52.0,80.0,23.0,,22.0,,
LOCAL-111517,Venteira,166,196,3255.0,4637.0,2185.0,798.0,837.0,189.0,816.0,367.0,688.0,29.0,7.0,10.0,25.0,35.0,44.0,10.0,,12.0,,
LOCAL-110201,Arranhó,25,15,496.0,456.0,301.0,60.0,70.0,32.0,40.0,24.0,50.0,3.0,2.0,0.0,6.0,2.0,6.0,2.0,,1.0,,
LOCAL-110202,Arruda dos Vinhos,64,105,1580.0,1548.0,1109.0,233.0,519.0,101.0,258.0,120.0,205.0,8.0,6.0,3.0,22.0,5.0,15.0,2.0,,5.0,,
