,territoryName,null_votes,blank_votes,PPD/PSD.CDS-PP.PPM,PS,CH,B.E.,IL,ADN,L,PAN,PCP-PEV,VP,E,JPP,R.I.R.,ND,PCTP/MRPP,MPT.A,NC,PTP,PPD/PSD.CDS-PP,PPM
LOCAL-430101,Altares,3,13,199.0,158.0,56.0,10.0,9.0,4.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,,,,,,,
LOCAL-430102,Angra (Nossa Senhora da Conceição),19,31,599.0,624.0,196.0,85.0,47.0,13.0,33.0,36.0,29.0,2.0,1.0,0.0,5.0,,,,,,,
LOCAL-430103,Angra (Santa Luzia),14,33,438.0,447.0,136.0,28.0,46.0,5.0,22.0,21.0,18.0,0.0,0.0,2.0,0.0,,,,,,,
LOCAL-430104,Angra (São Pedro),10,35,862.0,577.0,162.0,80.0,70.0,8.0,39.0,22.0,20.0,1.0,0.0,1.0,0.0,,,,,,,
LOCAL-430105,Angra (Sé),9,7,302.0,153.0,66.0,16.0,18.0,5.0,15.0,12.0,10.0,1.0,0.0,1.0,0.0,,,,,,,
LOCAL-430106,Cinco Ribeiras,2,10,197.0,95.0,48.0,12.0,14.0,3.0,7.0,3.0,3.0,1.0,0.0,0.0,0.0,,,,,,,
LOCAL-430107,Doze Ribeiras,2,10,108.0,88.0,37.0,9.0,3.0,3.0,7.0,4.0,0.0,1.0,0.0,1.0,0.0,,,,,,,
LOCAL-430108,Feteira,11,12,337.0,202.0,78.0,24.0,24.0,10.0,14.0,8.0,3.0,2.0,1.0,3.0,0.0,,,,,,,
LOCAL-430109,Porto Judeu,11,33,452.0,369.0,130.0,34.0,22.0,8.0,12.0,6.0,10.0,1.0,0.0,0.0,1.0,,,,,,,
LOCAL-430110,Posto Santo,3,19,223.0,179.0,52.0,15.0,9.0,5.0,8.0,2.0,2.0,1.0,0.0,1.0,0.0,,,,,,,
LOCAL-430111,Raminho,0,11,114.0,97.0,23.0,8.0,7.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,
LOCAL-430112,Ribeirinha,15,26,655.0,444.0,145.0,23.0,29.0,9.0,18.0,13.0,3.0,1.0,0.0,2.0,1.0,,,,,,,
LOCAL-430113,Santa Bárbara,6,17,282.0,199.0,92.0,8.0,22.0,5.0,4.0,3.0,8.0,0.0,0.0,0.0,0.0,,,,,,,
LOCAL-430114,São Bartolomeu de Regatos,13,27,400.0,273.0,124.0,30.0,34.0,7.0,22.0,10.0,9.0,2.0,1.0,2.0,0.0,,,,,,,
LOCAL-430115,São Bento,8,25,386.0,389.0,108.0,28.0,20.0,12.0,11.0,8.0,6.0,0.0,0.0,1.0,0.0,,,,,,,
LOCAL-430116,São Mateus da Calheta,20,32,687.0,570.0,217.0,73.0,45.0,13.0,23.0,24.0,30.0,2.0,0.0,2.0,2.0,,,,,,,
LOCAL-430117,Serreta,0,6,65.0,58.0,24.0,4.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,,,,,,,
LOCAL-430118,Terra Chã,10,49,454.0,459.0,176.0,44.0,45.0,6.0,23.0,13.0,9.0,2.0,0.0,1.0,1.0,,,,,,,
LOCAL-430119,Vila de São Sebastião,5,18,445.0,300.0,124.0,21.0,37.0,10.0,6.0,7.0,8.0,0.0,1.0,1.0,0.0,,,,,,,
LOCAL-450101,Calheta,8,24,280.0,192.0,59.0,15.0,12.0,8.0,7.0,7.0,11.0,1.0,0.0,2.0,1.0,,,,,,,
LOCAL-450102,Norte Pequeno,0,2,66.0,21.0,14.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,,,,,,,
LOCAL-450103,Ribeira Seca,4,11,261.0,92.0,40.0,7.0,10.0,7.0,6.0,2.0,4.0,2.0,0.0,1.0,1.0,,,,,,,
LOCAL-450104,Santo Antão,2,11,167.0,60.0,18.0,4.0,4.0,8.0,3.0,0.0,5.0,1.0,0.0,2.0,0.0,,,,,,,
LOCAL-450105,Topo (Nossa Senhora do Rosário),2,5,109.0,67.0,27.0,3.0,4.0,4.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,,,,,,,
LOCAL-490101,Corvo,2,5,111.0,108.0,21.0,9.0,2.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,,,,,,,
LOCAL-470101,Capelo,3,10,92.0,97.0,27.0,8.0,4.0,1.0,4.0,5.0,11.0,0.0,0.0,0.0,0.0,,,,,,,
LOCAL-470102,Castelo Branco,6,20,248.0,169.0,75.0,16.0,7.0,2.0,7.0,4.0,4.0,0.0,0.0,2.0,2.0,,,,,,,
LOCAL-470103,Cedros,5,13,257.0,80.0,33.0,12.0,3.0,6.0,2.0,5.0,12.0,0.0,1.0,0.0,0.0,,,,,,,
LOCAL-470104,Feteira,9,31,291.0,250.0,89.0,22.0,23.0,5.0,16.0,9.0,13.0,0.0,1.0,0.0,3.0,,,,,,,
LOCAL-470105,Flamengos,3,28,305.0,217.0,103.0,26.0,17.0,7.0,4.0,10.0,18.0,0.0,0.0,1.0,0.0,,,,,,,
LOCAL-470106,Horta (Angústias),10,25,429.0,354.0,93.0,61.0,32.0,4.0,33.0,22.0,40.0,0.0,1.0,2.0,2.0,,,,,,,
LOCAL-470107,Horta (Conceição),4,19,234.0,176.0,51.0,22.0,11.0,6.0,19.0,13.0,8.0,0.0,0.0,2.0,0.0,,,,,,,
LOCAL-470108,Horta (Matriz),5,31,497.0,366.0,94.0,67.0,38.0,11.0,52.0,14.0,46.0,2.0,0.0,0.0,1.0,,,,,,,
LOCAL-470109,Pedro Miguel,1,11,164.0,80.0,38.0,10.0,9.0,2.0,4.0,1.0,8.0,0.0,0.0,2.0,0.0,,,,,,,
LOCAL-470110,Praia do Almoxarife,2,14,178.0,145.0,56.0,23.0,7.0,2.0,13.0,3.0,10.0,0.0,0.0,0.0,0.0,,,,,,,
LOCAL-470111,Praia do Norte,0,9,84.0,29.0,13.0,5.0,1.0,2.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,,,,,,,
LOCAL-470112,Ribeirinha,2,5,95.0,40.0,33.0,8.0,5.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,,,,,,,
LOCAL-470113,Salão,0,9,124.0,23.0,17.0,10.0,3.0,2.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,,,,,,,
LOCAL-420101,Água de Pau,16,7,291.0,312.0,224.0,11.0,12.0,5.0,13.0,16.0,2.0,0.0,0.0,1.0,1.0,,,,,,,
LOCAL-420102,Cabouco,6,10,272.0,267.0,183.0,25.0,13.0,7.0,13.0,22.0,2.0,3.0,1.0,7.0,2.0,,,,,,,
LOCAL-420103,Lagoa (Nossa Senhora do Rosário),24,44,813.0,704.0,399.0,89.0,87.0,14.0,50.0,51.0,17.0,4.0,0.0,27.0,2.0,,,,,,,
LOCAL-420104,Lagoa (Santa Cruz),12,20,385.0,427.0,309.0,35.0,37.0,8.0,18.0,32.0,6.0,1.0,2.0,16.0,2.0,,,,,,,
LOCAL-420105,Ribeira Chã,1,5,48.0,59.0,41.0,2.0,3.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,,,,,,,
LOCAL-480101,Fajã Grande,0,3,42.0,45.0,17.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,
LOCAL-480102,Fajãzinha,0,4,11.0,22.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
LOCAL-480103,Fazenda,0,4,47.0,43.0,20.0,8.0,2.0,2.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,,,,,,,
LOCAL-480104,Lajedo,0,1,20.0,15.0,2.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,,,,,,,
LOCAL-480105,Lajes das Flores,2,7,93.0,97.0,31.0,14.0,8.0,6.0,3.0,5.0,3.0,0.0,0.0,0.0,2.0,,,,,,,
LOCAL-480106,Lomba,0,5,38.0,28.0,16.0,7.0,2.0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,,,,,,,
LOCAL-480107,Mosteiro,2,0,2.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
LOCAL-460101,Calheta de Nesquim,2,11,62.0,57.0,14.0,6.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,
LOCAL-460102,Lajes do Pico,3,52,301.0,324.0,109.0,21.0,13.0,4.0,14.0,3.0,11.0,0.0,1.0,0.0,1.0,,,,,,,
LOCAL-460103,Piedade,0,11,201.0,124.0,24.0,4.0,5.0,2.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,,,,,,,
LOCAL-460104,Ribeiras,8,15,195.0,143.0,40.0,11.0,4.0,6.0,7.0,2.0,13.0,0.0,0.0,0.0,2.0,,,,,,,
LOCAL-460105,Ribeirinha,2,13,93.0,97.0,4.0,2.0,0.0,4.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,,,,,,,
LOCAL-460106,São João,2,5,108.0,75.0,26.0,9.0,3.0,5.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,,,,,,,
LOCAL-460201,Bandeiras,1,8,129.0,86.0,53.0,13.0,5.0,2.0,1.0,5.0,2.0,0.0,1.0,0.0,0.0,,,,,,,
LOCAL-460202,Candelária,2,20,158.0,144.0,43.0,13.0,13.0,5.0,5.0,6.0,4.0,1.0,2.0,1.0,1.0,,,,,,,
LOCAL-460203,Criação Velha,4,20,187.0,89.0,43.0,9.0,6.0,4.0,6.0,2.0,7.0,0.0,0.0,1.0,0.0,,,,,,,
LOCAL-460204,Madalena,12,51,568.0,327.0,142.0,35.0,36.0,6.0,15.0,17.0,18.0,1.0,0.0,3.0,1.0,,,,,,,
LOCAL-460205,São Caetano,1,4,133.0,60.0,20.0,5.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,,,,,,,
LOCAL-460206,São Mateus,10,13,152.0,129.0,28.0,9.0,1.0,4.0,1.0,5.0,1.0,0.0,0.0,2.0,0.0,,,,,,,
LOCAL-420201,Achada,3,10,92.0,82.0,21.0,5.0,1.0,1.0,0.0,5.0,5.0,0.0,0.0,0.0,1.0,,,,,,,
LOCAL-420202,Achadinha,6,5,81.0,85.0,48.0,3.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,,,,,,,
LOCAL-420208,Algarvia,4,6,56.0,34.0,18.0,0.0,1.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,,,,,,,
LOCAL-420203,Lomba da Fazenda,8,8,186.0,114.0,47.0,11.0,7.0,3.0,5.0,5.0,4.0,0.0,1.0,0.0,2.0,,,,,,,
LOCAL-420204,Nordeste,11,23,271.0,173.0,85.0,17.0,15.0,7.0,15.0,8.0,0.0,1.0,0.0,1.0,1.0,,,,,,,
LOCAL-420206,Salga,2,11,78.0,81.0,44.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,,,,,,,
LOCAL-420207,Santana,2,6,91.0,83.0,34.0,5.0,7.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,,,,,,,
LOCAL-420209,Santo António de Nordestinho,0,1,86.0,47.0,15.0,4.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,
LOCAL-420210,São Pedro de Nordestinho,3,8,57.0,55.0,10.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
LOCAL-420323,Ajuda da Bretanha,4,5,84.0,53.0,89.0,6.0,3.0,0.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,,,,,,,
LOCAL-420301,Arrifes,19,53,853.0,671.0,664.0,83.0,72.0,19.0,39.0,35.0,20.0,2.0,0.0,3.0,2.0,,,,,,,
LOCAL-420303,Candelária,7,9,123.0,75.0,92.0,10.0,6.0,3.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,,,,,,,
LOCAL-420304,Capelas,25,26,575.0,467.0,379.0,51.0,48.0,10.0,23.0,37.0,17.0,1.0,2.0,4.0,1.0,,,,,,,
LOCAL-420305,Covoada,6,8,151.0,118.0,124.0,11.0,13.0,7.0,4.0,8.0,5.0,1.0,0.0,0.0,0.0,,,,,,,
LOCAL-420306,Fajã de Baixo,19,50,982.0,635.0,373.0,108.0,90.0,20.0,68.0,56.0,29.0,6.0,0.0,6.0,3.0,,,,,,,
LOCAL-420307,Fajã de Cima,9,20,438.0,337.0,231.0,53.0,42.0,9.0,25.0,40.0,11.0,3.0,0.0,6.0,1.0,,,,,,,
LOCAL-420308,Fenais da Luz,13,14,324.0,186.0,235.0,22.0,34.0,8.0,16.0,21.0,7.0,3.0,0.0,6.0,1.0,,,,,,,
LOCAL-420309,Feteiras,5,11,124.0,140.0,141.0,15.0,10.0,1.0,4.0,8.0,1.0,0.0,0.0,1.0,0.0,,,,,,,
LOCAL-420310,Ginetes,8,8,143.0,129.0,92.0,19.0,11.0,4.0,4.0,5.0,7.0,0.0,0.0,2.0,1.0,,,,,,,
LOCAL-420311,Mosteiros,5,2,174.0,83.0,63.0,12.0,6.0,7.0,4.0,4.0,5.0,1.0,0.0,1.0,0.0,,,,,,,
LOCAL-420324,Pilar da Bretanha,0,5,89.0,53.0,79.0,8.0,2.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,2.0,,,,,,,
LOCAL-420313,Ponta Delgada (São José),32,53,1269.0,729.0,323.0,131.0,134.0,18.0,75.0,64.0,29.0,6.0,2.0,5.0,2.0,,,,,,,
LOCAL-420314,Ponta Delgada (São Pedro),35,65,1589.0,998.0,453.0,205.0,157.0,24.0,115.0,92.0,48.0,10.0,4.0,11.0,3.0,,,,,,,
LOCAL-420312,Ponta Delgada (São Sebastião),19,25,1034.0,494.0,271.0,100.0,100.0,13.0,88.0,71.0,28.0,2.0,2.0,8.0,3.0,,,,,,,
LOCAL-420315,Relva,11,30,528.0,298.0,258.0,63.0,48.0,10.0,36.0,28.0,14.0,0.0,1.0,1.0,1.0,,,,,,,
LOCAL-420316,Remédios,7,10,103.0,98.0,100.0,11.0,3.0,4.0,7.0,3.0,1.0,3.0,0.0,0.0,1.0,,,,,,,
LOCAL-420317,Rosto do Cão (Livramento),17,37,833.0,468.0,366.0,98.0,80.0,13.0,51.0,41.0,17.0,3.0,2.0,4.0,1.0,,,,,,,
LOCAL-420318,Rosto do Cão (São Roque),26,28,591.0,477.0,352.0,73.0,83.0,9.0,40.0,41.0,24.0,1.0,1.0,5.0,2.0,,,,,,,
LOCAL-420319,Santa Bárbara,4,8,83.0,124.0,97.0,8.0,8.0,1.0,5.0,13.0,4.0,0.0,1.0,2.0,1.0,,,,,,,
LOCAL-420325,Santa Clara,11,19,530.0,377.0,183.0,69.0,43.0,10.0,34.0,35.0,25.0,1.0,0.0,3.0,0.0,,,,,,,
LOCAL-420320,Santo António,7,15,273.0,183.0,153.0,14.0,14.0,9.0,9.0,14.0,5.0,0.0,0.0,0.0,2.0,,,,,,,
LOCAL-420321,São Vicente Ferreira,15,27,489.0,234.0,274.0,47.0,44.0,18.0,19.0,19.0,12.0,2.0,2.0,1.0,2.0,,,,,,,
LOCAL-420322,Sete Cidades,0,3,76.0,113.0,47.0,4.0,4.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,,
LOCAL-420401,Água Retorta,7,7,70.0,85.0,31.0,0.0,1.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,,,,,,,
LOCAL-420402,Faial da Terra,2,6,48.0,65.0,33.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,
LOCAL-420403,Furnas,6,13,200.0,180.0,170.0,33.0,14.0,1.0,18.0,19.0,3.0,0.0,2.0,1.0,3.0,,,,,,,
LOCAL-420404,Nossa Senhora dos Remédios,5,16,226.0,149.0,93.0,10.0,5.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,,,,,,,
LOCAL-420405,Povoação,12,27,345.0,293.0,156.0,19.0,15.0,4.0,14.0,7.0,2.0,1.0,1.0,0.0,0.0,,,,,,,
LOCAL-420406,Ribeira Quente,5,6,95.0,121.0,51.0,21.0,3.0,3.0,2.0,6.0,1.0,2.0,0.0,2.0,0.0,,,,,,,
LOCAL-420501,Calhetas,5,16,142.0,64.0,94.0,13.0,12.0,3.0,5.0,5.0,3.0,1.0,1.0,1.0,0.0,,,,,,,
LOCAL-420502,Fenais da Ajuda,7,9,145.0,60.0,99.0,5.0,2.0,3.0,4.0,3.0,5.0,0.0,0.0,1.0,1.0,,,,,,,
LOCAL-420503,Lomba da Maia,4,13,183.0,111.0,75.0,24.0,10.0,7.0,5.0,1.0,7.0,0.0,0.0,0.0,0.0,,,,,,,
LOCAL-420504,Lomba de São Pedro,3,7,36.0,47.0,25.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
LOCAL-420505,Maia,14,17,250.0,253.0,166.0,25.0,15.0,3.0,7.0,9.0,5.0,0.0,2.0,2.0,1.0,,,,,,,
LOCAL-420506,Pico da Pedra,13,31,531.0,325.0,301.0,93.0,59.0,6.0,28.0,39.0,9.0,2.0,0.0,3.0,2.0,,,,,,,
LOCAL-420507,Porto Formoso,9,13,160.0,131.0,101.0,5.0,8.0,2.0,7.0,5.0,0.0,0.0,0.0,1.0,0.0,,,,,,,
LOCAL-420508,Rabo de Peixe,22,33,746.0,426.0,497.0,89.0,40.0,16.0,24.0,26.0,17.0,4.0,1.0,2.0,3.0,,,,,,,
LOCAL-420509,Ribeira Grande (Conceição),3,23,403.0,366.0,228.0,52.0,37.0,5.0,28.0,29.0,9.0,1.0,1.0,3.0,1.0,,,,,,,
LOCAL-420510,Ribeira Grande (Matriz),32,22,467.0,370.0,260.0,53.0,40.0,6.0,21.0,38.0,18.0,1.0,1.0,1.0,1.0,,,,,,,
LOCAL-420511,Ribeira Seca,15,12,461.0,271.0,218.0,40.0,23.0,6.0,16.0,25.0,11.0,1.0,0.0,2.0,0.0,,,,,,,
LOCAL-420512,Ribeirinha,9,17,294.0,191.0,200.0,24.0,14.0,8.0,9.0,20.0,11.0,0.0,2.0,1.0,1.0,,,,,,,
LOCAL-420513,Santa Bárbara,11,20,171.0,177.0,123.0,8.0,11.0,6.0,2.0,13.0,10.0,2.0,1.0,3.0,1.0,,,,,,,
LOCAL-420514,São Brás,3,11,150.0,57.0,49.0,5.0,6.0,3.0,1.0,3.0,0.0,2.0,0.0,0.0,1.0,,,,,,,
LOCAL-440101,Guadalupe,4,20,258.0,130.0,41.0,6.0,2.0,4.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,,,,,,,
LOCAL-440102,Luz,1,11,111.0,137.0,43.0,2.0,4.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,,,,,,,
LOCAL-440104,Santa Cruz da Graciosa,8,33,358.0,297.0,70.0,21.0,15.0,5.0,12.0,9.0,4.0,0.0,0.0,0.0,3.0,,,,,,,
LOCAL-440103,São Mateus,6,10,150.0,165.0,26.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,
LOCAL-480201,Caveira,1,1,6.0,25.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,
LOCAL-480202,Cedros,1,2,13.0,23.0,14.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,,,,,,,
LOCAL-480203,Ponta Delgada,0,5,60.0,43.0,14.0,1.0,0.0,1.0,2.0,2.0,4.0,0.0,1.0,0.0,1.0,,,,,,,
LOCAL-480204,Santa Cruz das Flores,6,14,222.0,281.0,111.0,22.0,17.0,7.0,8.0,5.0,22.0,1.0,0.0,3.0,3.0,,,,,,,
LOCAL-460301,Prainha,2,16,118.0,85.0,21.0,7.0,5.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,,
LOCAL-460302,Santa Luzia,0,10,97.0,65.0,31.0,4.0,2.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,,,,,,,
LOCAL-460303,Santo Amaro,2,10,75.0,62.0,10.0,2.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,,,,,,,
LOCAL-460304,Santo António,1,11,129.0,134.0,59.0,8.0,10.0,2.0,4.0,7.0,2.0,1.0,0.0,1.0,1.0,,,,,,,
LOCAL-460305,São Roque do Pico,7,19,320.0,162.0,64.0,24.0,11.0,10.0,17.0,8.0,4.0,0.0,0.0,0.0,1.0,,,,,,,
LOCAL-450201,Manadas (Santa Bárbara),1,7,89.0,33.0,15.0,3.0,1.0,2.0,1.0,2.0,2.0,0.0,3.0,0.0,0.0,,,,,,,
LOCAL-450202,Norte Grande (Neves),0,6,155.0,66.0,26.0,2.0,3.0,4.0,2.0,0.0,8.0,0.0,1.0,0.0,0.0,,,,,,,
LOCAL-450203,Rosais,4,11,165.0,83.0,30.0,9.0,4.0,6.0,2.0,1.0,6.0,1.0,0.0,0.0,0.0,,,,,,,
LOCAL-450204,Santo Amaro,4,9,210.0,123.0,51.0,11.0,4.0,2.0,5.0,3.0,9.0,1.0,0.0,0.0,0.0,,,,,,,
LOCAL-450205,Urzelina (São Mateus),1,9,233.0,100.0,55.0,9.0,12.0,6.0,8.0,6.0,11.0,0.0,0.0,1.0,4.0,,,,,,,
LOCAL-450206,Velas (São Jorge),9,25,378.0,297.0,76.0,28.0,19.0,9.0,10.0,9.0,13.0,0.0,0.0,1.0,1.0,,,,,,,
LOCAL-430201,Agualva,5,15,270.0,249.0,58.0,9.0,17.0,5.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,,,,,,,
LOCAL-430202,Biscoitos,7,23,279.0,172.0,99.0,11.0,13.0,7.0,7.0,6.0,11.0,1.0,0.0,0.0,0.0,,,,,,,
LOCAL-430203,Cabo da Praia,3,8,154.0,110.0,69.0,5.0,6.0,8.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,
LOCAL-430204,Fonte do Bastardo,4,15,270.0,134.0,68.0,14.0,20.0,3.0,4.0,7.0,6.0,0.0,0.0,0.0,1.0,,,,,,,
LOCAL-430205,Fontinhas,7,33,362.0,210.0,77.0,14.0,21.0,6.0,4.0,3.0,2.0,0.0,0.0,3.0,2.0,,,,,,,
LOCAL-430206,Lajes,16,54,560.0,446.0,228.0,32.0,25.0,12.0,14.0,12.0,14.0,1.0,1.0,2.0,0.0,,,,,,,
LOCAL-430211,Porto Martins,2,18,308.0,147.0,51.0,21.0,15.0,9.0,10.0,11.0,5.0,0.0,1.0,1.0,1.0,,,,,,,
LOCAL-430207,Praia da Vitória (Santa Cruz),25,78,962.0,856.0,400.0,88.0,90.0,23.0,54.0,23.0,24.0,3.0,2.0,4.0,0.0,,,,,,,
LOCAL-430208,Quatro Ribeiras,0,5,81.0,75.0,23.0,6.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,
LOCAL-430209,São Brás,0,10,185.0,153.0,86.0,8.0,18.0,4.0,4.0,5.0,7.0,1.0,0.0,0.0,0.0,,,,,,,
LOCAL-430210,Vila Nova,4,18,295.0,278.0,100.0,15.0,23.0,3.0,6.0,4.0,6.0,0.0,0.0,1.0,1.0,,,,,,,
LOCAL-410101,Almagreira,3,7,90.0,68.0,41.0,11.0,8.0,1.0,3.0,2.0,3.0,0.0,0.0,1.0,0.0,,,,,,,
LOCAL-410102,Santa Bárbara,1,12,59.0,58.0,18.0,8.0,3.0,2.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,,,,,,,
LOCAL-410103,Santo Espírito,1,12,87.0,77.0,32.0,11.0,2.0,0.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,,,,,,,
LOCAL-410104,São Pedro,3,17,98.0,99.0,33.0,27.0,5.0,0.0,4.0,4.0,5.0,0.0,1.0,0.0,0.0,,,,,,,
LOCAL-410105,Vila do Porto,12,46,438.0,450.0,156.0,60.0,47.0,13.0,43.0,13.0,17.0,1.0,2.0,0.0,3.0,,,,,,,
LOCAL-420601,Água de Alto,3,7,214.0,216.0,150.0,15.0,22.0,6.0,10.0,9.0,3.0,0.0,1.0,0.0,0.0,,,,,,,
LOCAL-420602,Ponta Garça,22,18,478.0,298.0,335.0,31.0,14.0,11.0,9.0,26.0,9.0,0.0,0.0,2.0,4.0,,,,,,,
LOCAL-420603,Ribeira das Tainhas,5,8,91.0,128.0,48.0,4.0,6.0,1.0,6.0,10.0,2.0,0.0,0.0,3.0,1.0,,,,,,,
LOCAL-420606,Ribeira Seca,2,5,182.0,103.0,118.0,16.0,9.0,5.0,8.0,6.0,2.0,0.0,1.0,1.0,1.0,,,,,,,
LOCAL-420604,Vila Franca do Campo (São Miguel),10,17,359.0,253.0,225.0,31.0,20.0,9.0,10.0,15.0,8.0,0.0,1.0,0.0,0.0,,,,,,,
LOCAL-420605,Vila Franca do Campo (São Pedro),8,8,249.0,163.0,145.0,12.0,13.0,4.0,8.0,15.0,1.0,2.0,0.0,1.0,2.0,,,,,,,
LOCAL-010103,Aguada de Cima,25,34,805.0,540.0,542.0,80.0,83.0,41.0,43.0,13.0,16.0,2.0,1.0,,9.0,6.0,6.0,2.0,,,,
LOCAL-010121,Águeda e Borralha,81,125,2670.0,2226.0,1330.0,280.0,401.0,132.0,150.0,80.0,111.0,7.0,2.0,,20.0,16.0,18.0,3.0,,,,
LOCAL-010122,Barrô e Aguada de Baixo,21,31,718.0,461.0,344.0,48.0,76.0,36.0,24.0,23.0,5.0,1.0,2.0,,6.0,7.0,1.0,2.0,,,,
LOCAL-010123,"Belazaima do Chão, Castanheira do Vouga e Agadão",11,27,369.0,229.0,217.0,15.0,27.0,16.0,8.0,5.0,6.0,1.0,0.0,,3.0,0.0,3.0,0.0,,,,
LOCAL-010109,Fermentelos,19,29,1005.0,221.0,365.0,43.0,87.0,35.0,28.0,22.0,14.0,3.0,0.0,,5.0,2.0,7.0,0.0,,,,
LOCAL-010112,Macinhata do Vouga,17,24,532.0,544.0,389.0,63.0,55.0,31.0,21.0,30.0,31.0,3.0,1.0,,4.0,8.0,4.0,1.0,,,,
LOCAL-010127,Préstimo e Macieira de Alcoba,1,6,170.0,129.0,97.0,14.0,14.0,7.0,9.0,3.0,3.0,0.0,0.0,,1.0,0.0,0.0,0.0,,,,
LOCAL-010124,Recardães e Espinhel,42,81,1170.0,1146.0,678.0,136.0,187.0,49.0,44.0,60.0,43.0,12.0,3.0,,6.0,10.0,9.0,1.0,,,,
LOCAL-010125,Travassô e Óis da Ribeira,24,38,494.0,413.0,249.0,71.0,79.0,21.0,23.0,11.0,14.0,1.0,4.0,,10.0,2.0,8.0,0.0,,,,
LOCAL-010126,"Trofa, Segadães e Lamas do Vouga",25,49,881.0,800.0,520.0,98.0,122.0,29.0,56.0,39.0,67.0,3.0,3.0,,12.0,8.0,11.0,1.0,,,,
LOCAL-010119,Valongo do Vouga,31,65,813.0,861.0,554.0,67.0,116.0,43.0,35.0,36.0,48.0,0.0,1.0,,9.0,6.0,8.0,1.0,,,,
LOCAL-010209,Albergaria-a-Velha e Valmaior,74,104,2318.0,1353.0,1326.0,216.0,300.0,109.0,134.0,116.0,70.0,13.0,1.0,,34.0,12.0,15.0,2.0,,,,
LOCAL-010202,Alquerubim,19,28,468.0,378.0,271.0,39.0,40.0,26.0,18.0,13.0,7.0,2.0,1.0,,9.0,2.0,4.0,2.0,,,,
LOCAL-010203,Angeja,18,23,346.0,358.0,256.0,38.0,43.0,23.0,22.0,15.0,16.0,0.0,0.0,,7.0,1.0,10.0,0.0,,,,
