,territoryName,null_votes,blank_votes,PS,PPD/PSD,CDS-PP,B.E.,CH,A,L,PCP-PEV,PPM,IL,MAS,PAN,PCTP/MRPP,MPT,PDR,PNR,PTP,R.I.R.,NC,PURP,JPP
LOCAL-101518,"Guia, Ilha e Mata Mourisca",82,144,704.0,1424.0,139.0,206.0,41.0,35.0,35.0,30.0,9.0,16.0,5.0,70.0,16.0,7.0,8.0,9.0,5.0,36.0,7.0,5.0,7.0
LOCAL-101506,Louriçal,73,97,590.0,800.0,110.0,201.0,20.0,21.0,28.0,48.0,6.0,13.0,1.0,61.0,11.0,5.0,19.0,4.0,4.0,17.0,5.0,6.0,1.0
LOCAL-101515,Meirinhas,18,40,139.0,523.0,69.0,39.0,14.0,9.0,9.0,13.0,3.0,14.0,0.0,18.0,5.0,2.0,2.0,3.0,0.0,5.0,1.0,2.0,1.0
LOCAL-101508,Pelariga,17,33,308.0,357.0,50.0,59.0,15.0,8.0,8.0,7.0,3.0,10.0,1.0,19.0,3.0,2.0,0.0,0.0,2.0,6.0,3.0,1.0,0.0
LOCAL-101509,Pombal,133,295,2103.0,2285.0,340.0,706.0,172.0,51.0,64.0,189.0,12.0,69.0,3.0,210.0,37.0,25.0,25.0,19.0,10.0,56.0,20.0,18.0,7.0
LOCAL-101510,Redinha,25,22,361.0,289.0,38.0,79.0,20.0,10.0,5.0,16.0,3.0,5.0,0.0,20.0,7.0,4.0,3.0,1.0,2.0,8.0,2.0,2.0,0.0
LOCAL-101519,Santiago e S.Simão de Litém e Albergaria dos Doze,43,96,637.0,876.0,116.0,153.0,45.0,16.0,10.0,56.0,10.0,6.0,1.0,48.0,11.0,6.0,10.0,4.0,4.0,16.0,3.0,4.0,3.0
LOCAL-101513,Vermoil,34,59,300.0,591.0,79.0,74.0,19.0,8.0,10.0,26.0,3.0,6.0,2.0,25.0,7.0,7.0,4.0,3.0,4.0,10.0,4.0,2.0,2.0
LOCAL-101514,Vila Cã,14,44,156.0,283.0,47.0,46.0,13.0,4.0,5.0,13.0,1.0,8.0,1.0,10.0,3.0,5.0,0.0,0.0,1.0,5.0,3.0,1.0,0.0
LOCAL-101602,Alqueidão da Serra,22,41,299.0,310.0,42.0,85.0,8.0,6.0,11.0,26.0,3.0,13.0,0.0,14.0,5.0,0.0,3.0,2.0,2.0,10.0,2.0,0.0,5.0
LOCAL-101615,Alvados e Alcaria,5,16,76.0,231.0,30.0,25.0,7.0,6.0,6.0,5.0,0.0,3.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
LOCAL-101616,Arrimal e Mendiga,32,29,228.0,415.0,58.0,66.0,2.0,6.0,11.0,13.0,5.0,5.0,0.0,13.0,3.0,4.0,5.0,4.0,1.0,18.0,4.0,1.0,1.0
LOCAL-101605,Calvaria de Cima,36,41,410.0,336.0,61.0,113.0,18.0,18.0,9.0,39.0,4.0,10.0,0.0,42.0,22.0,5.0,6.0,4.0,0.0,7.0,3.0,3.0,1.0
LOCAL-101606,Juncal,47,62,523.0,525.0,94.0,136.0,7.0,15.0,16.0,47.0,3.0,14.0,3.0,37.0,13.0,3.0,5.0,2.0,4.0,18.0,3.0,3.0,2.0
LOCAL-101608,Mira de Aire,49,38,653.0,483.0,55.0,168.0,18.0,15.0,11.0,55.0,4.0,16.0,0.0,76.0,13.0,6.0,7.0,8.0,1.0,9.0,5.0,3.0,2.0
LOCAL-101609,Pedreiras,35,58,422.0,453.0,60.0,88.0,16.0,15.0,11.0,25.0,4.0,8.0,1.0,36.0,10.0,2.0,2.0,4.0,3.0,16.0,3.0,5.0,1.0
LOCAL-101614,Porto de Mós - São João Baptista e São Pedro,57,104,890.0,1040.0,172.0,295.0,33.0,36.0,31.0,76.0,9.0,31.0,2.0,54.0,26.0,11.0,10.0,6.0,9.0,25.0,6.0,6.0,3.0
LOCAL-101610,São Bento,6,13,52.0,249.0,39.0,19.0,1.0,3.0,2.0,6.0,1.0,0.0,0.0,6.0,3.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0
LOCAL-101613,Serro Ventoso,19,20,109.0,227.0,37.0,41.0,10.0,5.0,3.0,6.0,0.0,7.0,2.0,12.0,2.0,2.0,0.0,1.0,2.0,12.0,3.0,3.0,2.0
LOCAL-110117,Abrigada e Cabanas de Torres,36,45,897.0,345.0,71.0,191.0,19.0,14.0,18.0,278.0,6.0,13.0,4.0,45.0,50.0,7.0,21.0,8.0,5.0,17.0,8.0,4.0,
LOCAL-110118,Aldeia Galega da Merceana e Aldeia Gavinha,18,35,600.0,299.0,53.0,120.0,21.0,16.0,11.0,160.0,2.0,16.0,3.0,29.0,27.0,4.0,12.0,4.0,2.0,6.0,4.0,0.0,
LOCAL-110119,Alenquer (Santo Estêvão e Triana),70,176,2068.0,1078.0,203.0,566.0,105.0,58.0,76.0,508.0,12.0,87.0,9.0,173.0,65.0,16.0,31.0,22.0,9.0,39.0,11.0,6.0,
LOCAL-110106,Carnota,21,14,316.0,167.0,24.0,62.0,11.0,8.0,8.0,71.0,1.0,5.0,2.0,21.0,13.0,0.0,0.0,2.0,3.0,9.0,1.0,0.0,
LOCAL-110120,Carregado e Cadafais,85,157,1963.0,834.0,190.0,638.0,125.0,53.0,58.0,550.0,14.0,60.0,10.0,208.0,74.0,19.0,56.0,29.0,9.0,31.0,19.0,8.0,
LOCAL-110107,Meca,14,21,445.0,120.0,30.0,52.0,8.0,4.0,5.0,110.0,0.0,5.0,0.0,22.0,13.0,2.0,2.0,4.0,1.0,8.0,0.0,0.0,
LOCAL-110108,Olhalvo,14,14,465.0,232.0,25.0,81.0,15.0,4.0,13.0,104.0,1.0,2.0,2.0,13.0,12.0,1.0,4.0,3.0,2.0,8.0,2.0,0.0,
LOCAL-110109,Ota,6,13,246.0,105.0,44.0,71.0,18.0,8.0,6.0,67.0,1.0,1.0,0.0,19.0,14.0,1.0,7.0,3.0,0.0,1.0,1.0,0.0,
LOCAL-110121,Ribafria e Pereiro de Palhacana,6,15,370.0,140.0,21.0,75.0,8.0,2.0,5.0,62.0,0.0,4.0,0.0,14.0,8.0,0.0,0.0,3.0,1.0,2.0,3.0,0.0,
LOCAL-110113,Ventosa,17,28,494.0,229.0,40.0,72.0,11.0,9.0,9.0,65.0,4.0,6.0,0.0,22.0,12.0,1.0,3.0,5.0,3.0,6.0,1.0,1.0,
