,territoryName,null_votes,blank_votes,PS,PPD/PSD,CDS-PP,B.E.,CH,A,L,PCP-PEV,PPM,IL,MAS,PAN,PCTP/MRPP,MPT,PDR,PNR,PTP,R.I.R.,NC,PURP,JPP
LOCAL-430101,Altares,2,18,163.0,105.0,32.0,12.0,7.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,
LOCAL-430102,Angra (Nossa Senhora da Conceição),20,66,535.0,363.0,89.0,124.0,15.0,14.0,17.0,36.0,8.0,13.0,1.0,44.0,8.0,3.0,5.0,3.0,4.0,,,,
LOCAL-430103,Angra (Santa Luzia),11,58,414.0,290.0,49.0,113.0,8.0,8.0,12.0,18.0,1.0,9.0,0.0,32.0,4.0,0.0,1.0,2.0,4.0,,,,
LOCAL-430104,Angra (São Pedro),20,79,564.0,493.0,103.0,137.0,18.0,23.0,16.0,30.0,5.0,20.0,1.0,40.0,10.0,3.0,2.0,3.0,1.0,,,,
LOCAL-430105,Angra (Sé),9,22,143.0,207.0,41.0,43.0,1.0,8.0,8.0,13.0,0.0,4.0,1.0,14.0,2.0,2.0,2.0,1.0,0.0,,,,
LOCAL-430106,Cinco Ribeiras,5,18,108.0,141.0,27.0,19.0,1.0,1.0,2.0,10.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,,,,
LOCAL-430107,Doze Ribeiras,1,20,109.0,76.0,6.0,14.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,,,,
LOCAL-430108,Feteira,7,22,229.0,215.0,36.0,52.0,4.0,8.0,3.0,5.0,1.0,4.0,0.0,15.0,0.0,4.0,0.0,3.0,1.0,,,,
LOCAL-430109,Porto Judeu,6,46,338.0,287.0,59.0,49.0,6.0,5.0,2.0,12.0,0.0,0.0,1.0,9.0,0.0,1.0,0.0,3.0,0.0,,,,
LOCAL-430110,Posto Santo,4,27,191.0,120.0,19.0,28.0,1.0,4.0,4.0,8.0,0.0,2.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,,,,
LOCAL-430111,Raminho,3,6,87.0,92.0,12.0,7.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,
LOCAL-430112,Ribeirinha,21,39,443.0,431.0,66.0,44.0,9.0,4.0,4.0,7.0,3.0,4.0,0.0,7.0,2.0,1.0,0.0,1.0,1.0,,,,
LOCAL-430113,Santa Bárbara,8,22,237.0,157.0,51.0,34.0,2.0,3.0,3.0,7.0,0.0,1.0,1.0,10.0,2.0,2.0,1.0,2.0,0.0,,,,
LOCAL-430114,São Bartolomeu de Regatos,19,48,240.0,257.0,39.0,57.0,4.0,6.0,5.0,6.0,2.0,4.0,0.0,20.0,3.0,3.0,0.0,2.0,1.0,,,,
LOCAL-430115,São Bento,17,43,353.0,228.0,38.0,76.0,9.0,6.0,5.0,15.0,3.0,8.0,1.0,22.0,7.0,1.0,0.0,3.0,0.0,,,,
LOCAL-430116,São Mateus da Calheta,19,61,545.0,280.0,80.0,116.0,13.0,14.0,12.0,38.0,3.0,7.0,3.0,26.0,6.0,3.0,2.0,2.0,0.0,,,,
LOCAL-430117,Serreta,4,8,82.0,54.0,15.0,8.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,,,,
LOCAL-430118,Terra Chã,20,50,439.0,306.0,35.0,81.0,7.0,8.0,4.0,17.0,1.0,16.0,1.0,29.0,4.0,4.0,1.0,3.0,1.0,,,,
LOCAL-430119,Vila de São Sebastião,6,27,350.0,221.0,72.0,51.0,2.0,8.0,4.0,8.0,1.0,3.0,2.0,9.0,4.0,2.0,0.0,1.0,0.0,,,,
LOCAL-450101,Calheta,6,33,198.0,110.0,42.0,24.0,2.0,4.0,0.0,20.0,2.0,1.0,1.0,13.0,2.0,0.0,0.0,4.0,0.0,,,,
LOCAL-450102,Norte Pequeno,3,5,42.0,47.0,10.0,3.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
LOCAL-450103,Ribeira Seca,2,11,107.0,152.0,55.0,28.0,0.0,3.0,1.0,8.0,0.0,0.0,1.0,9.0,4.0,2.0,0.0,2.0,0.0,,,,
LOCAL-450104,Santo Antão,1,17,76.0,97.0,18.0,17.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,9.0,1.0,0.0,0.0,1.0,,,,
LOCAL-450105,Topo (Nossa Senhora do Rosário),0,7,80.0,63.0,12.0,6.0,1.0,2.0,0.0,8.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,,,,
LOCAL-490101,Corvo,1,8,85.0,1.0,3.0,5.0,1.0,0.0,0.0,7.0,64.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,
LOCAL-470101,Capelo,3,17,77.0,63.0,10.0,15.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,,,,
LOCAL-470102,Castelo Branco,2,31,210.0,139.0,36.0,29.0,1.0,3.0,1.0,6.0,3.0,1.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,,,,
LOCAL-470103,Cedros,9,19,104.0,193.0,32.0,14.0,2.0,1.0,4.0,12.0,2.0,0.0,0.0,6.0,2.0,1.0,2.0,0.0,0.0,,,,
LOCAL-470104,Feteira,4,36,252.0,161.0,28.0,49.0,4.0,0.0,0.0,17.0,10.0,11.0,0.0,16.0,2.0,3.0,1.0,2.0,4.0,,,,
LOCAL-470105,Flamengos,6,31,250.0,187.0,19.0,42.0,2.0,1.0,4.0,14.0,4.0,4.0,1.0,9.0,4.0,2.0,0.0,2.0,1.0,,,,
LOCAL-470106,Horta (Angústias),8,40,366.0,296.0,29.0,76.0,5.0,3.0,7.0,59.0,9.0,11.0,2.0,30.0,5.0,2.0,1.0,4.0,1.0,,,,
LOCAL-470107,Horta (Conceição),8,23,186.0,150.0,24.0,32.0,4.0,3.0,0.0,21.0,1.0,3.0,0.0,12.0,1.0,2.0,0.0,1.0,0.0,,,,
LOCAL-470108,Horta (Matriz),7,40,306.0,322.0,48.0,109.0,3.0,5.0,13.0,58.0,7.0,5.0,1.0,35.0,7.0,1.0,3.0,2.0,0.0,,,,
LOCAL-470109,Pedro Miguel,1,12,95.0,97.0,14.0,19.0,0.0,1.0,2.0,14.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,,,,
LOCAL-470110,Praia do Almoxarife,3,15,150.0,112.0,5.0,29.0,5.0,2.0,0.0,17.0,3.0,4.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,,,,
LOCAL-470111,Praia do Norte,0,14,29.0,56.0,23.0,7.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,
LOCAL-470112,Ribeirinha,1,18,59.0,50.0,10.0,12.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,
LOCAL-470113,Salão,1,5,34.0,72.0,19.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,,,,
LOCAL-420101,Água de Pau,14,19,412.0,140.0,24.0,43.0,5.0,6.0,7.0,7.0,1.0,8.0,3.0,20.0,4.0,7.0,2.0,0.0,1.0,,,,
LOCAL-420102,Cabouco,14,17,263.0,115.0,29.0,48.0,12.0,4.0,8.0,13.0,1.0,4.0,1.0,33.0,3.0,1.0,0.0,1.0,2.0,,,,
LOCAL-420103,Lagoa (Nossa Senhora do Rosário),34,68,743.0,408.0,69.0,195.0,8.0,20.0,16.0,34.0,5.0,14.0,6.0,55.0,9.0,12.0,1.0,7.0,3.0,,,,
LOCAL-420104,Lagoa (Santa Cruz),26,46,504.0,229.0,33.0,76.0,5.0,9.0,9.0,21.0,2.0,2.0,1.0,35.0,12.0,7.0,2.0,3.0,3.0,,,,
LOCAL-420105,Ribeira Chã,6,10,72.0,30.0,5.0,5.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,,,,
LOCAL-480101,Fajã Grande,5,6,37.0,21.0,5.0,7.0,3.0,1.0,1.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,,,,
LOCAL-480102,Fajãzinha,0,4,16.0,13.0,0.0,4.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,
LOCAL-480103,Fazenda,1,6,58.0,18.0,5.0,5.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,
LOCAL-480104,Lajedo,1,6,14.0,18.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,
LOCAL-480105,Lajes das Flores,4,26,89.0,44.0,4.0,16.0,0.0,0.0,1.0,11.0,1.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,,,,
LOCAL-480106,Lomba,4,7,34.0,16.0,3.0,7.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,,,,
LOCAL-480107,Mosteiro,1,1,7.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,
LOCAL-460101,Calheta de Nesquim,0,12,39.0,45.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
LOCAL-460102,Lajes do Pico,4,50,260.0,242.0,19.0,55.0,5.0,7.0,6.0,20.0,1.0,2.0,1.0,25.0,2.0,0.0,1.0,3.0,1.0,,,,
LOCAL-460103,Piedade,3,13,118.0,143.0,10.0,11.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,7.0,1.0,1.0,1.0,0.0,0.0,,,,
LOCAL-460104,Ribeiras,4,11,153.0,142.0,9.0,22.0,3.0,1.0,0.0,7.0,2.0,1.0,1.0,3.0,2.0,0.0,0.0,2.0,1.0,,,,
LOCAL-460105,Ribeirinha,3,9,86.0,63.0,3.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,
LOCAL-460106,São João,0,16,68.0,77.0,6.0,15.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,,,,
LOCAL-460201,Bandeiras,2,14,93.0,69.0,7.0,10.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,,,,
LOCAL-460202,Candelária,3,31,159.0,109.0,11.0,9.0,5.0,1.0,1.0,11.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,,,,
LOCAL-460203,Criação Velha,2,37,90.0,144.0,6.0,6.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,,,,
LOCAL-460204,Madalena,8,73,287.0,414.0,27.0,55.0,5.0,12.0,4.0,28.0,1.0,2.0,0.0,31.0,5.0,0.0,2.0,3.0,1.0,,,,
LOCAL-460205,São Caetano,0,13,65.0,107.0,6.0,6.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,
LOCAL-460206,São Mateus,3,19,96.0,136.0,7.0,12.0,0.0,3.0,2.0,5.0,2.0,1.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,,,,
LOCAL-420201,Achada,1,10,115.0,74.0,4.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,7.0,2.0,2.0,0.0,0.0,0.0,,,,
LOCAL-420202,Achadinha,2,10,119.0,60.0,8.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,,,,
LOCAL-420208,Algarvia,6,4,40.0,62.0,11.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,,,,
LOCAL-420203,Lomba da Fazenda,6,8,128.0,188.0,8.0,22.0,0.0,3.0,4.0,8.0,0.0,0.0,4.0,5.0,4.0,2.0,1.0,0.0,2.0,,,,
LOCAL-420204,Nordeste,14,29,194.0,232.0,20.0,32.0,12.0,7.0,4.0,9.0,1.0,3.0,0.0,12.0,2.0,2.0,0.0,4.0,3.0,,,,
LOCAL-420206,Salga,6,16,99.0,61.0,4.0,17.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,,,,
LOCAL-420207,Santana,6,13,87.0,67.0,7.0,10.0,2.0,2.0,0.0,3.0,0.0,1.0,0.0,9.0,1.0,0.0,0.0,1.0,0.0,,,,
LOCAL-420209,Santo António de Nordestinho,1,6,56.0,69.0,6.0,12.0,1.0,5.0,4.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,,,,
LOCAL-420210,São Pedro de Nordestinho,1,3,78.0,34.0,6.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,
LOCAL-420323,Ajuda da Bretanha,2,13,94.0,50.0,10.0,20.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,5.0,1.0,3.0,0.0,0.0,0.0,,,,
LOCAL-420301,Arrifes,26,64,818.0,356.0,67.0,178.0,21.0,16.0,14.0,33.0,10.0,9.0,2.0,47.0,9.0,18.0,3.0,7.0,6.0,,,,
LOCAL-420303,Candelária,3,11,127.0,84.0,14.0,23.0,2.0,1.0,1.0,4.0,0.0,1.0,0.0,10.0,2.0,1.0,0.0,1.0,0.0,,,,
LOCAL-420304,Capelas,21,48,636.0,266.0,50.0,103.0,3.0,12.0,11.0,26.0,4.0,3.0,4.0,41.0,20.0,6.0,2.0,8.0,7.0,,,,
LOCAL-420305,Covoada,7,10,168.0,84.0,23.0,26.0,8.0,1.0,1.0,13.0,2.0,1.0,0.0,11.0,1.0,1.0,1.0,2.0,2.0,,,,
LOCAL-420306,Fajã de Baixo,29,84,677.0,567.0,84.0,198.0,31.0,36.0,20.0,49.0,10.0,18.0,2.0,71.0,6.0,9.0,0.0,6.0,2.0,,,,
LOCAL-420307,Fajã de Cima,12,35,396.0,247.0,35.0,94.0,10.0,11.0,12.0,15.0,7.0,17.0,0.0,42.0,5.0,5.0,1.0,3.0,2.0,,,,
LOCAL-420308,Fenais da Luz,8,23,188.0,163.0,30.0,58.0,13.0,9.0,10.0,24.0,4.0,8.0,0.0,24.0,7.0,2.0,0.0,1.0,0.0,,,,
LOCAL-420309,Feteiras,4,16,195.0,57.0,12.0,24.0,2.0,0.0,3.0,5.0,1.0,2.0,0.0,7.0,4.0,0.0,0.0,1.0,2.0,,,,
LOCAL-420310,Ginetes,8,8,190.0,88.0,18.0,27.0,3.0,5.0,1.0,7.0,6.0,2.0,1.0,7.0,5.0,1.0,1.0,0.0,0.0,,,,
LOCAL-420311,Mosteiros,6,3,126.0,150.0,20.0,18.0,2.0,1.0,2.0,8.0,2.0,2.0,1.0,5.0,3.0,0.0,0.0,1.0,2.0,,,,
LOCAL-420324,Pilar da Bretanha,5,13,87.0,50.0,18.0,14.0,0.0,1.0,3.0,4.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,,,,
LOCAL-420313,Ponta Delgada (São José),36,82,751.0,732.0,101.0,266.0,18.0,39.0,44.0,61.0,16.0,34.0,4.0,82.0,15.0,7.0,2.0,10.0,5.0,,,,
LOCAL-420314,Ponta Delgada (São Pedro),43,106,932.0,971.0,95.0,335.0,22.0,44.0,62.0,80.0,17.0,45.0,2.0,110.0,14.0,13.0,1.0,11.0,5.0,,,,
LOCAL-420312,Ponta Delgada (São Sebastião),21,61,493.0,654.0,65.0,174.0,20.0,28.0,29.0,42.0,15.0,29.0,2.0,61.0,6.0,13.0,2.0,12.0,4.0,,,,
LOCAL-420315,Relva,14,43,329.0,298.0,40.0,95.0,6.0,16.0,8.0,31.0,5.0,8.0,2.0,44.0,8.0,4.0,7.0,4.0,3.0,,,,
LOCAL-420316,Remédios,5,13,158.0,54.0,23.0,29.0,1.0,2.0,5.0,6.0,2.0,0.0,1.0,4.0,3.0,5.0,1.0,2.0,2.0,,,,
LOCAL-420317,Rosto do Cão (Livramento),32,66,482.0,475.0,53.0,153.0,11.0,31.0,26.0,33.0,9.0,13.0,1.0,66.0,13.0,10.0,2.0,2.0,1.0,,,,
LOCAL-420318,Rosto do Cão (São Roque),40,63,533.0,333.0,33.0,147.0,18.0,16.0,12.0,27.0,5.0,19.0,4.0,48.0,11.0,6.0,3.0,6.0,3.0,,,,
LOCAL-420319,Santa Bárbara,10,13,165.0,56.0,7.0,22.0,2.0,1.0,0.0,3.0,1.0,0.0,1.0,14.0,7.0,3.0,1.0,3.0,1.0,,,,
LOCAL-420325,Santa Clara,19,38,424.0,299.0,31.0,106.0,11.0,12.0,21.0,27.0,7.0,13.0,1.0,32.0,5.0,3.0,2.0,7.0,1.0,,,,
LOCAL-420320,Santo António,19,13,269.0,142.0,31.0,33.0,4.0,3.0,5.0,7.0,3.0,2.0,2.0,16.0,5.0,4.0,1.0,5.0,3.0,,,,
LOCAL-420321,São Vicente Ferreira,15,45,273.0,259.0,36.0,90.0,7.0,13.0,13.0,19.0,7.0,8.0,2.0,31.0,4.0,5.0,2.0,4.0,1.0,,,,
LOCAL-420322,Sete Cidades,6,9,158.0,38.0,4.0,7.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,,,,
LOCAL-420401,Água Retorta,7,10,109.0,39.0,6.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,4.0,0.0,2.0,0.0,,,,
LOCAL-420402,Faial da Terra,0,15,63.0,32.0,4.0,2.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,
LOCAL-420403,Furnas,18,32,204.0,90.0,21.0,54.0,6.0,2.0,11.0,10.0,0.0,5.0,0.0,33.0,5.0,3.0,1.0,4.0,3.0,,,,
LOCAL-420404,Nossa Senhora dos Remédios,8,39,141.0,132.0,18.0,19.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,5.0,3.0,3.0,0.0,0.0,0.0,,,,
LOCAL-420405,Povoação,18,56,374.0,189.0,38.0,54.0,4.0,3.0,3.0,9.0,3.0,6.0,0.0,23.0,6.0,2.0,0.0,1.0,0.0,,,,
LOCAL-420406,Ribeira Quente,7,18,110.0,55.0,9.0,31.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,12.0,2.0,1.0,0.0,1.0,2.0,,,,
LOCAL-420501,Calhetas,6,14,100.0,67.0,13.0,22.0,5.0,3.0,5.0,1.0,0.0,4.0,0.0,10.0,1.0,3.0,0.0,0.0,0.0,,,,
LOCAL-420502,Fenais da Ajuda,3,14,100.0,118.0,25.0,10.0,1.0,3.0,2.0,10.0,0.0,0.0,1.0,8.0,2.0,3.0,0.0,2.0,1.0,,,,
LOCAL-420503,Lomba da Maia,4,20,154.0,117.0,19.0,18.0,3.0,4.0,1.0,6.0,1.0,1.0,0.0,8.0,1.0,4.0,1.0,1.0,0.0,,,,
LOCAL-420504,Lomba de São Pedro,7,2,68.0,52.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,,,,
LOCAL-420505,Maia,11,33,349.0,141.0,26.0,42.0,2.0,3.0,7.0,12.0,2.0,2.0,2.0,12.0,9.0,4.0,0.0,1.0,0.0,,,,
LOCAL-420506,Pico da Pedra,20,42,391.0,256.0,31.0,140.0,18.0,19.0,13.0,27.0,8.0,12.0,1.0,39.0,2.0,9.0,1.0,4.0,1.0,,,,
LOCAL-420507,Porto Formoso,9,16,216.0,70.0,17.0,19.0,4.0,1.0,1.0,7.0,2.0,3.0,0.0,11.0,5.0,1.0,0.0,0.0,1.0,,,,
LOCAL-420508,Rabo de Peixe,47,40,395.0,722.0,35.0,213.0,12.0,13.0,8.0,15.0,12.0,7.0,0.0,25.0,7.0,5.0,3.0,7.0,5.0,,,,
LOCAL-420509,Ribeira Grande (Conceição),21,43,360.0,245.0,21.0,117.0,12.0,7.0,13.0,22.0,7.0,8.0,0.0,35.0,5.0,4.0,0.0,2.0,4.0,,,,
LOCAL-420510,Ribeira Grande (Matriz),31,39,382.0,349.0,21.0,95.0,7.0,3.0,4.0,18.0,5.0,6.0,4.0,40.0,11.0,6.0,2.0,5.0,4.0,,,,
LOCAL-420511,Ribeira Seca,20,22,271.0,371.0,25.0,65.0,10.0,4.0,11.0,18.0,2.0,6.0,1.0,27.0,10.0,4.0,1.0,3.0,4.0,,,,
LOCAL-420512,Ribeirinha,8,17,215.0,293.0,27.0,56.0,5.0,1.0,4.0,5.0,3.0,2.0,0.0,15.0,5.0,1.0,0.0,1.0,5.0,,,,
LOCAL-420513,Santa Bárbara,16,17,182.0,89.0,20.0,39.0,1.0,3.0,5.0,8.0,2.0,6.0,1.0,9.0,3.0,0.0,1.0,4.0,0.0,,,,
LOCAL-420514,São Brás,5,12,80.0,105.0,10.0,18.0,1.0,1.0,3.0,7.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,,,,
LOCAL-440101,Guadalupe,7,26,153.0,196.0,5.0,14.0,6.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,,,,
LOCAL-440102,Luz,5,20,153.0,74.0,4.0,4.0,1.0,0.0,3.0,2.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,,,,
LOCAL-440104,Santa Cruz da Graciosa,5,43,403.0,191.0,24.0,32.0,8.0,0.0,3.0,9.0,2.0,9.0,3.0,8.0,0.0,0.0,0.0,1.0,0.0,,,,
LOCAL-440103,São Mateus,6,20,246.0,119.0,7.0,10.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,,,,
LOCAL-480201,Caveira,0,5,13.0,0.0,4.0,1.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,
LOCAL-480202,Cedros,1,2,16.0,5.0,4.0,1.0,1.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,
LOCAL-480203,Ponta Delgada,1,13,43.0,36.0,7.0,6.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,
LOCAL-480204,Santa Cruz das Flores,17,30,267.0,117.0,19.0,34.0,12.0,5.0,1.0,51.0,3.0,3.0,2.0,15.0,6.0,1.0,0.0,1.0,0.0,,,,
LOCAL-460301,Prainha,1,8,101.0,57.0,8.0,9.0,1.0,1.0,1.0,3.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,,,,
LOCAL-460302,Santa Luzia,0,14,53.0,57.0,6.0,10.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,,,,
LOCAL-460303,Santo Amaro,2,6,73.0,50.0,2.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,,,,
LOCAL-460304,Santo António,3,25,135.0,57.0,9.0,10.0,4.0,0.0,1.0,8.0,1.0,1.0,0.0,9.0,1.0,0.0,0.0,1.0,0.0,,,,
LOCAL-460305,São Roque do Pico,7,29,164.0,176.0,25.0,40.0,7.0,5.0,5.0,8.0,3.0,1.0,0.0,13.0,5.0,1.0,0.0,3.0,1.0,,,,
LOCAL-450201,Manadas (Santa Bárbara),4,4,49.0,49.0,29.0,6.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,,,,
LOCAL-450202,Norte Grande (Neves),2,8,84.0,58.0,52.0,7.0,0.0,2.0,0.0,31.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,,,,
LOCAL-450203,Rosais,3,9,96.0,31.0,73.0,7.0,0.0,3.0,0.0,23.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,0.0,,,,
LOCAL-450204,Santo Amaro,2,6,102.0,59.0,65.0,11.0,0.0,8.0,1.0,57.0,0.0,1.0,0.0,3.0,9.0,0.0,1.0,0.0,0.0,,,,
LOCAL-450205,Urzelina (São Mateus),7,17,104.0,88.0,52.0,9.0,6.0,0.0,3.0,66.0,0.0,0.0,0.0,11.0,8.0,0.0,1.0,0.0,0.0,,,,
LOCAL-450206,Velas (São Jorge),17,18,295.0,176.0,88.0,35.0,2.0,11.0,5.0,83.0,2.0,0.0,1.0,15.0,6.0,1.0,0.0,3.0,1.0,,,,
LOCAL-430201,Agualva,2,18,241.0,199.0,14.0,24.0,4.0,2.0,2.0,3.0,0.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,,,,
LOCAL-430202,Biscoitos,3,30,194.0,184.0,11.0,23.0,4.0,5.0,4.0,11.0,1.0,1.0,1.0,7.0,3.0,3.0,1.0,1.0,0.0,,,,
LOCAL-430203,Cabo da Praia,5,11,110.0,102.0,25.0,25.0,3.0,1.0,0.0,4.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,,,,
LOCAL-430204,Fonte do Bastardo,4,16,163.0,119.0,31.0,27.0,2.0,2.0,1.0,4.0,1.0,3.0,0.0,5.0,1.0,2.0,0.0,2.0,1.0,,,,
LOCAL-430205,Fontinhas,5,31,247.0,198.0,39.0,29.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,12.0,3.0,2.0,0.0,3.0,0.0,,,,
LOCAL-430206,Lajes,20,66,385.0,302.0,42.0,69.0,12.0,6.0,3.0,14.0,1.0,8.0,1.0,22.0,4.0,1.0,0.0,8.0,1.0,,,,
LOCAL-430211,Porto Martins,4,23,142.0,141.0,60.0,52.0,9.0,3.0,3.0,9.0,0.0,3.0,0.0,12.0,2.0,0.0,1.0,2.0,0.0,,,,
LOCAL-430207,Praia da Vitória (Santa Cruz),20,76,776.0,477.0,112.0,151.0,25.0,17.0,15.0,41.0,8.0,12.0,1.0,38.0,15.0,8.0,2.0,4.0,3.0,,,,
LOCAL-430208,Quatro Ribeiras,0,11,87.0,48.0,6.0,5.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,,,,
LOCAL-430209,São Brás,4,30,179.0,83.0,12.0,14.0,3.0,2.0,1.0,8.0,1.0,1.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,,,,
LOCAL-430210,Vila Nova,10,20,306.0,178.0,24.0,20.0,6.0,1.0,0.0,2.0,3.0,1.0,0.0,5.0,2.0,0.0,3.0,2.0,1.0,,,,
LOCAL-410101,Almagreira,0,9,88.0,49.0,3.0,18.0,1.0,3.0,2.0,2.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,,,,
LOCAL-410102,Santa Bárbara,1,14,60.0,34.0,5.0,6.0,0.0,0.0,4.0,5.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,,,,
LOCAL-410103,Santo Espírito,2,12,95.0,52.0,3.0,14.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,
