,territoryName,null_votes,blank_votes,PS,PPD/PSD.CDS-PP.PPM,CH,B.E.,IL,ADN,PAN,R.I.R.,L,PCP-PEV,E,MAS,MPT,PCTP/MRPP,VP,PPD/PSD,CDS-PP,JPP,PTP,A,NC,PPD/PSD.CDS-PP,PPM
LOCAL-010127,Préstimo e Macieira de Alcoba,4,7,174.0,,42.0,21.0,10.0,0.0,5.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,148.0,19.0,0.0,,,,,
LOCAL-010124,Recardães e Espinhel,32,54,1331.0,,220.0,122.0,123.0,6.0,28.0,15.0,17.0,59.0,3.0,4.0,8.0,15.0,6.0,1035.0,71.0,2.0,,,,,
LOCAL-010125,Travassô e Óis da Ribeira,8,21,496.0,,78.0,53.0,48.0,2.0,8.0,3.0,9.0,13.0,0.0,3.0,0.0,4.0,0.0,464.0,38.0,1.0,,,,,
LOCAL-010126,"Trofa, Segadães e Lamas do Vouga",22,24,1007.0,,139.0,88.0,89.0,5.0,21.0,10.0,9.0,68.0,1.0,2.0,1.0,15.0,3.0,772.0,81.0,1.0,,,,,
LOCAL-010119,Valongo do Vouga,14,44,989.0,,147.0,92.0,75.0,4.0,20.0,20.0,14.0,57.0,2.0,2.0,0.0,11.0,2.0,719.0,40.0,2.0,,,,,
LOCAL-010209,Albergaria-a-Velha e Valmaior,46,69,1795.0,,397.0,243.0,257.0,9.0,77.0,18.0,36.0,80.0,4.0,7.0,5.0,10.0,7.0,1834.0,248.0,2.0,,,,,
LOCAL-010202,Alquerubim,11,20,517.0,,72.0,28.0,30.0,0.0,8.0,4.0,4.0,5.0,0.0,2.0,2.0,1.0,0.0,365.0,54.0,0.0,,,,,
LOCAL-010203,Angeja,9,13,451.0,,73.0,45.0,28.0,10.0,6.0,6.0,10.0,36.0,0.0,0.0,2.0,7.0,0.0,276.0,65.0,0.0,,,,,
LOCAL-010204,Branca,25,35,1016.0,,185.0,75.0,91.0,2.0,29.0,13.0,22.0,36.0,0.0,0.0,2.0,6.0,1.0,1018.0,182.0,1.0,,,,,
LOCAL-010206,Ribeira de Fráguas,8,13,314.0,,60.0,28.0,24.0,0.0,10.0,7.0,4.0,10.0,1.0,1.0,2.0,4.0,1.0,286.0,67.0,0.0,,,,,
LOCAL-010210,São João de Loure e Frossos,13,12,552.0,,135.0,64.0,42.0,1.0,21.0,12.0,9.0,17.0,0.0,1.0,2.0,4.0,1.0,449.0,115.0,1.0,,,,,
LOCAL-010316,"Amoreira da Gândara, Paredes do Bairro e Ancas",20,31,417.0,,113.0,45.0,41.0,6.0,13.0,5.0,1.0,10.0,1.0,0.0,2.0,2.0,2.0,629.0,56.0,1.0,,,,,
LOCAL-010317,Arcos e Mogofores,18,49,1141.0,,190.0,149.0,200.0,10.0,59.0,11.0,23.0,72.0,0.0,1.0,3.0,19.0,2.0,1092.0,95.0,3.0,,,,,
LOCAL-010304,Avelãs de Caminho,3,12,212.0,,35.0,13.0,18.0,0.0,6.0,4.0,6.0,9.0,0.0,0.0,0.0,6.0,0.0,222.0,15.0,0.0,,,,,
LOCAL-010305,Avelãs de Cima,13,15,231.0,,62.0,40.0,28.0,1.0,3.0,5.0,5.0,7.0,0.0,0.0,1.0,4.0,1.0,533.0,29.0,0.0,,,,,
LOCAL-010307,Moita,5,19,399.0,,79.0,45.0,49.0,0.0,15.0,8.0,10.0,15.0,0.0,1.0,1.0,3.0,3.0,508.0,27.0,0.0,,,,,
LOCAL-010309,Sangalhos,22,32,592.0,,140.0,91.0,102.0,4.0,22.0,7.0,21.0,42.0,2.0,3.0,4.0,12.0,2.0,685.0,60.0,3.0,,,,,
LOCAL-010310,São Lourenço do Bairro,15,18,383.0,,89.0,44.0,47.0,3.0,10.0,4.0,4.0,14.0,2.0,3.0,5.0,4.0,2.0,491.0,21.0,0.0,,,,,
LOCAL-010318,"Tamengos, Aguim e Óis do Bairro",9,28,663.0,,103.0,54.0,77.0,1.0,20.0,5.0,18.0,22.0,0.0,2.0,1.0,2.0,0.0,648.0,27.0,2.0,,,,,
LOCAL-010312,Vila Nova de Monsarros,9,13,329.0,,25.0,26.0,44.0,1.0,9.0,6.0,2.0,4.0,0.0,1.0,1.0,2.0,1.0,276.0,10.0,0.0,,,,,
LOCAL-010313,Vilarinho do Bairro,11,20,309.0,,110.0,33.0,48.0,0.0,10.0,6.0,6.0,2.0,0.0,0.0,2.0,6.0,1.0,749.0,44.0,3.0,,,,,
LOCAL-010402,Alvarenga,7,2,187.0,,21.0,10.0,4.0,0.0,1.0,2.0,1.0,4.0,1.0,2.0,0.0,3.0,1.0,297.0,23.0,0.0,,,,,
LOCAL-010421,Arouca e Burgo,23,46,1084.0,,133.0,92.0,91.0,4.0,30.0,19.0,21.0,41.0,1.0,3.0,3.0,6.0,2.0,1177.0,63.0,0.0,,,,,
