,territoryName,null_votes,blank_votes,PS,PPD/PSD.CDS-PP.PPM,CH,B.E.,IL,ADN,PAN,R.I.R.,L,PCP-PEV,E,MAS,MPT,PCTP/MRPP,VP,PPD/PSD,CDS-PP,JPP,PTP,A,NC,PPD/PSD.CDS-PP,PPM
LOCAL-040126,Pombal e Vales,3,1,52.0,,11.0,1.0,1.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,49.0,0.0,,,,,,
LOCAL-040111,Sambade,1,1,110.0,,15.0,1.0,4.0,,1.0,0.0,0.0,2.0,0.0,0.0,0.0,,,118.0,7.0,,,,,,
LOCAL-040118,Vilar Chão,0,0,59.0,,12.0,2.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,67.0,2.0,,,,,,
LOCAL-040119,Vilarelhos,2,0,98.0,,14.0,0.0,2.0,,3.0,1.0,0.0,2.0,0.0,0.0,0.0,,,56.0,3.0,,,,,,
LOCAL-040120,Vilares de Vilariça,0,1,54.0,,7.0,5.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,42.0,0.0,,,,,,
LOCAL-040201,Alfaião,0,2,42.0,,4.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,69.0,1.0,,,,,,
LOCAL-040250,Aveleda e Rio de Onor,0,2,73.0,,4.0,2.0,7.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,68.0,1.0,,,,,,
LOCAL-040203,Babe,1,0,37.0,,5.0,2.0,2.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,64.0,2.0,,,,,,
LOCAL-040204,Baçal,2,5,99.0,,24.0,7.0,10.0,,1.0,0.0,1.0,2.0,0.0,0.0,1.0,,,126.0,6.0,,,,,,
LOCAL-040206,Carragosa,1,0,37.0,,8.0,1.0,2.0,,0.0,0.0,0.0,2.0,0.0,1.0,0.0,,,47.0,2.0,,,,,,
LOCAL-040251,Castrelos e Carrazedo,2,2,33.0,,13.0,1.0,1.0,,0.0,1.0,0.0,3.0,0.0,0.0,0.0,,,69.0,2.0,,,,,,
LOCAL-040209,Castro de Avelãs,6,2,73.0,,17.0,4.0,3.0,,1.0,1.0,0.0,5.0,0.0,0.0,0.0,,,85.0,2.0,,,,,,
LOCAL-040210,Coelhoso,3,1,59.0,,7.0,2.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,92.0,2.0,,,,,,
LOCAL-040212,Donai,2,10,83.0,,13.0,3.0,7.0,,0.0,1.0,5.0,2.0,0.0,1.0,0.0,,,103.0,3.0,,,,,,
LOCAL-040213,Espinhosela,1,0,74.0,,12.0,1.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,65.0,1.0,,,,,,
LOCAL-040215,França,2,0,64.0,,7.0,5.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,49.0,3.0,,,,,,
LOCAL-040216,Gimonde,2,2,86.0,,18.0,4.0,4.0,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,,,67.0,1.0,,,,,,
LOCAL-040217,Gondesende,0,1,31.0,,7.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,36.0,2.0,,,,,,
LOCAL-040218,Gostei,1,0,77.0,,18.0,1.0,3.0,,1.0,1.0,0.0,2.0,0.0,0.0,1.0,,,92.0,5.0,,,,,,
LOCAL-040219,Grijó de Parada,3,1,85.0,,22.0,0.0,5.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,52.0,2.0,,,,,,
LOCAL-040252,"Izeda, Calvelhe e Paradinha Nova",8,3,175.0,,30.0,11.0,1.0,,2.0,0.0,0.0,1.0,1.0,0.0,4.0,,,153.0,7.0,,,,,,
LOCAL-040221,Macedo do Mato,0,0,36.0,,7.0,3.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,39.0,4.0,,,,,,
LOCAL-040224,Mós,2,2,24.0,,9.0,0.0,2.0,,1.0,1.0,0.0,2.0,0.0,0.0,0.0,,,29.0,1.0,,,,,,
LOCAL-040225,Nogueira,3,5,96.0,,22.0,5.0,7.0,,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,,100.0,3.0,,,,,,
LOCAL-040226,Outeiro,0,0,44.0,,6.0,1.0,2.0,,0.0,2.0,0.0,1.0,1.0,1.0,0.0,,,56.0,1.0,,,,,,
LOCAL-040253,Parada e Faílde,1,1,149.0,,19.0,2.0,2.0,,0.0,3.0,0.0,3.0,0.0,0.0,0.0,,,127.0,5.0,,,,,,
LOCAL-040229,Parâmio,0,0,55.0,,5.0,0.0,0.0,,1.0,0.0,2.0,2.0,0.0,0.0,0.0,,,34.0,0.0,,,,,,
LOCAL-040230,Pinela,0,3,31.0,,7.0,1.0,0.0,,1.0,1.0,0.0,2.0,0.0,0.0,1.0,,,81.0,2.0,,,,,,
LOCAL-040232,Quintanilha,2,1,68.0,,14.0,4.0,0.0,,2.0,0.0,0.0,5.0,1.0,0.0,0.0,,,31.0,1.0,,,,,,
LOCAL-040233,Quintela de Lampaças,0,0,43.0,,6.0,1.0,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,36.0,1.0,,,,,,
LOCAL-040234,Rabal,2,0,39.0,,9.0,0.0,1.0,,0.0,0.0,0.0,6.0,0.0,0.0,0.0,,,41.0,1.0,,,,,,
LOCAL-040254,Rebordainhos e Pombares,1,0,36.0,,5.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,45.0,1.0,,,,,,
LOCAL-040236,Rebordãos,1,2,99.0,,16.0,2.0,3.0,,2.0,1.0,0.0,1.0,0.0,0.0,0.0,,,98.0,2.0,,,,,,
LOCAL-040255,Rio Frio e Milhão,1,2,83.0,,15.0,1.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,93.0,3.0,,,,,,
LOCAL-040239,Salsas,2,2,40.0,,12.0,0.0,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,60.0,1.0,,,,,,
LOCAL-040240,Samil,5,7,224.0,,49.0,9.0,21.0,,0.0,1.0,2.0,8.0,0.0,1.0,0.0,,,276.0,10.0,,,,,,
LOCAL-040241,Santa Comba de Rossas,3,0,63.0,,15.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,57.0,1.0,,,,,,
LOCAL-040256,São Julião de Palácios e Deilão,1,2,46.0,,16.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,100.0,3.0,,,,,,
LOCAL-040244,São Pedro de Sarracenos,1,5,101.0,,24.0,3.0,3.0,,0.0,1.0,2.0,2.0,0.0,0.0,0.0,,,64.0,2.0,,,,,,
LOCAL-040257,"Sé, Santa Maria e Meixedo",96,100,4203.0,,942.0,266.0,307.0,,108.0,23.0,69.0,167.0,10.0,8.0,14.0,,,3708.0,105.0,,,,,,
LOCAL-040246,Sendas,1,5,19.0,,6.0,2.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,63.0,1.0,,,,,,
LOCAL-040247,Serapicos,1,2,29.0,,14.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,51.0,2.0,,,,,,
LOCAL-040248,Sortes,3,3,62.0,,12.0,6.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,31.0,3.0,,,,,,
LOCAL-040249,Zoio,0,1,23.0,,5.0,1.0,1.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,39.0,2.0,,,,,,
LOCAL-040320,Amedo e Zedes,5,1,74.0,,19.0,4.0,0.0,,6.0,0.0,1.0,2.0,2.0,1.0,0.0,,,87.0,11.0,,,,,,
LOCAL-040321,Belver e Mogo de Malta,3,2,82.0,,21.0,2.0,5.0,,2.0,1.0,1.0,0.0,0.0,1.0,1.0,,,103.0,7.0,,,,,,
LOCAL-040304,Carrazeda de Ansiães,13,3,317.0,,101.0,15.0,29.0,,8.0,1.0,3.0,5.0,1.0,3.0,2.0,,,340.0,18.0,,,,,,
LOCAL-040322,Castanheiro do Norte e Ribalonga,3,5,99.0,,19.0,6.0,2.0,,0.0,6.0,0.0,7.0,1.0,0.0,1.0,,,103.0,2.0,,,,,,
LOCAL-040306,Fonte Longa,2,0,38.0,,8.0,6.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,73.0,1.0,,,,,,
LOCAL-040323,"Lavandeira, Beira Grande e Selores",3,1,70.0,,18.0,9.0,2.0,,1.0,2.0,2.0,2.0,1.0,0.0,0.0,,,100.0,2.0,,,,,,
LOCAL-040308,Linhares,1,3,86.0,,21.0,4.0,2.0,,0.0,0.0,0.0,5.0,0.0,1.0,0.0,,,75.0,4.0,,,,,,
LOCAL-040309,Marzagão,5,0,53.0,,18.0,4.0,4.0,,2.0,1.0,0.0,2.0,0.0,0.0,0.0,,,83.0,2.0,,,,,,
LOCAL-040311,Parambos,1,2,48.0,,4.0,4.0,2.0,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,,48.0,1.0,,,,,,
LOCAL-040312,Pereiros,3,1,48.0,,4.0,3.0,2.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,37.0,1.0,,,,,,
LOCAL-040313,Pinhal do Norte,4,2,41.0,,7.0,6.0,3.0,,1.0,1.0,1.0,4.0,1.0,0.0,1.0,,,50.0,9.0,,,,,,
LOCAL-040314,Pombal,4,1,45.0,,8.0,4.0,2.0,,0.0,3.0,0.0,0.0,0.0,0.0,1.0,,,76.0,4.0,,,,,,
LOCAL-040316,Seixo de Ansiães,2,3,61.0,,15.0,4.0,1.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,58.0,2.0,,,,,,
LOCAL-040318,Vilarinho da Castanheira,5,1,58.0,,24.0,5.0,2.0,,2.0,0.0,1.0,5.0,0.0,0.0,2.0,,,83.0,6.0,,,,,,
LOCAL-040407,Freixo de Espada à Cinta e Mazouco,9,9,569.0,,69.0,14.0,9.0,,5.0,6.0,2.0,11.0,0.0,0.0,1.0,,,295.0,7.0,,,,,,
LOCAL-040408,Lagoaça e Fornos,1,2,111.0,,21.0,13.0,4.0,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,,,97.0,2.0,,,,,,
LOCAL-040404,Ligares,0,1,94.0,,7.0,5.0,0.0,,0.0,3.0,0.0,8.0,0.0,0.0,0.0,,,42.0,0.0,,,,,,
LOCAL-040406,Poiares,4,1,102.0,,14.0,6.0,1.0,,1.0,1.0,1.0,4.0,0.0,0.0,0.0,,,44.0,1.0,,,,,,
LOCAL-040539,Ala e Vilarinho do Monte,6,4,113.0,,38.0,3.0,2.0,,0.0,0.0,1.0,2.0,2.0,0.0,1.0,,,89.0,12.0,,,,,,
LOCAL-040502,Amendoeira,3,3,107.0,,19.0,9.0,0.0,,1.0,0.0,3.0,4.0,1.0,2.0,1.0,,,101.0,10.0,,,,,,
LOCAL-040503,Arcas,0,2,83.0,,7.0,0.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,68.0,3.0,,,,,,
LOCAL-040540,Bornes e Burga,2,4,106.0,,10.0,8.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,77.0,4.0,,,,,,
LOCAL-040507,Carrapatas,1,2,43.0,,10.0,1.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,53.0,3.0,,,,,,
LOCAL-040541,Castelãos e Vilar do Monte,1,2,74.0,,19.0,4.0,3.0,,0.0,4.0,0.0,2.0,2.0,0.0,0.0,,,103.0,12.0,,,,,,
LOCAL-040509,Chacim,3,2,59.0,,4.0,1.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,38.0,3.0,,,,,,
LOCAL-040510,Cortiços,1,2,83.0,,14.0,2.0,0.0,,1.0,0.0,0.0,8.0,1.0,1.0,1.0,,,45.0,1.0,,,,,,
LOCAL-040511,Corujas,0,1,41.0,,6.0,1.0,1.0,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,,,50.0,8.0,,,,,,
LOCAL-040542,"Espadanedo, Edroso, Murçós e Soutelo Mourisco",5,0,89.0,,20.0,4.0,1.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,108.0,7.0,,,,,,
LOCAL-040514,Ferreira,1,0,58.0,,10.0,0.0,1.0,,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,42.0,9.0,,,,,,
LOCAL-040515,Grijó,3,1,86.0,,7.0,5.0,1.0,,1.0,1.0,0.0,3.0,0.0,0.0,0.0,,,62.0,7.0,,,,,,
LOCAL-040516,Lagoa,4,5,77.0,,17.0,3.0,2.0,,0.0,2.0,0.0,0.0,0.0,1.0,0.0,,,57.0,8.0,,,,,,
LOCAL-040517,Lamalonga,2,1,58.0,,10.0,2.0,3.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,78.0,2.0,,,,,,
LOCAL-040518,Lamas,2,0,28.0,,12.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,85.0,5.0,,,,,,
LOCAL-040519,Lombo,2,1,77.0,,26.0,0.0,2.0,,1.0,0.0,0.0,2.0,0.0,0.0,0.0,,,58.0,6.0,,,,,,
LOCAL-040520,Macedo de Cavaleiros,33,34,1283.0,,207.0,79.0,72.0,,19.0,12.0,17.0,60.0,1.0,3.0,2.0,,,1166.0,85.0,,,,,,
LOCAL-040521,Morais,6,5,100.0,,18.0,2.0,2.0,,2.0,0.0,0.0,5.0,0.0,0.0,0.0,,,80.0,1.0,,,,,,
LOCAL-040523,Olmos,0,3,51.0,,7.0,3.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,44.0,1.0,,,,,,
LOCAL-040524,Peredo,4,0,53.0,,10.0,0.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,39.0,4.0,,,,,,
LOCAL-040543,Podence e Santa Combinha,2,1,85.0,,10.0,1.0,7.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,70.0,7.0,,,,,,
LOCAL-040526,Salselas,5,1,82.0,,16.0,7.0,0.0,,1.0,2.0,0.0,5.0,1.0,3.0,0.0,,,60.0,8.0,,,,,,
LOCAL-040528,Sezulfe,6,0,70.0,,7.0,4.0,3.0,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,45.0,2.0,,,,,,
LOCAL-040530,Talhas,0,0,69.0,,14.0,2.0,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,66.0,6.0,,,,,,
LOCAL-040544,Talhinhas e Bagueixe,3,0,106.0,,16.0,2.0,3.0,,1.0,0.0,3.0,2.0,0.0,0.0,2.0,,,43.0,2.0,,,,,,
LOCAL-040532,Vale Benfeito,1,1,27.0,,10.0,2.0,2.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,51.0,4.0,,,,,,
LOCAL-040533,Vale da Porca,2,1,86.0,,9.0,3.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,35.0,6.0,,,,,,
LOCAL-040534,Vale de Prados,5,7,112.0,,20.0,4.0,10.0,,1.0,2.0,2.0,1.0,0.0,0.0,0.0,,,70.0,10.0,,,,,,
LOCAL-040536,Vilarinho de Agrochão,1,1,33.0,,8.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,50.0,0.0,,,,,,
LOCAL-040538,Vinhas,2,2,37.0,,6.0,3.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,39.0,2.0,,,,,,
LOCAL-040618,Constantim e Cicouro,2,3,47.0,,9.0,0.0,1.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,,41.0,3.0,,,,,,
LOCAL-040604,Duas Igrejas,6,1,95.0,,14.0,4.0,1.0,,1.0,0.0,1.0,2.0,1.0,0.0,0.0,,,142.0,3.0,,,,,,
LOCAL-040605,Genísio,4,0,30.0,,2.0,2.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,64.0,3.0,,,,,,
LOCAL-040619,Ifanes e Paradela,1,0,48.0,,10.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,95.0,3.0,,,,,,
LOCAL-040607,Malhadas,3,2,54.0,,22.0,1.0,0.0,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,,69.0,2.0,,,,,,
LOCAL-040608,Miranda do Douro,11,7,398.0,,43.0,30.0,8.0,,7.0,3.0,6.0,2.0,1.0,0.0,1.0,,,530.0,11.0,,,,,,
LOCAL-040609,Palaçoulo,8,5,61.0,,11.0,11.0,3.0,,1.0,2.0,1.0,1.0,0.0,0.0,0.0,,,117.0,7.0,,,,,,
LOCAL-040611,Picote,2,3,89.0,,9.0,1.0,1.0,,3.0,0.0,0.0,2.0,0.0,0.0,1.0,,,46.0,0.0,,,,,,
LOCAL-040612,Póvoa,3,1,50.0,,11.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,44.0,3.0,,,,,,
LOCAL-040613,São Martinho de Angueira,2,1,65.0,,2.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,65.0,2.0,,,,,,
LOCAL-040620,Sendim e Atenor,12,9,276.0,,49.0,18.0,18.0,,4.0,2.0,2.0,3.0,1.0,0.0,2.0,,,326.0,13.0,,,,,,
LOCAL-040621,Silva e Águas Vivas,7,0,56.0,,20.0,4.0,1.0,,0.0,1.0,0.0,2.0,0.0,2.0,1.0,,,120.0,13.0,,,,,,
LOCAL-040616,Vila Chã de Braciosa,4,2,53.0,,8.0,0.0,3.0,,0.0,2.0,1.0,1.0,0.0,0.0,1.0,,,85.0,4.0,,,,,,
LOCAL-040701,Abambres,0,0,47.0,,26.0,2.0,1.0,,0.0,0.0,2.0,5.0,0.0,1.0,0.0,,,98.0,7.0,,,,,,
LOCAL-040702,Abreiro,4,0,46.0,,19.0,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,49.0,6.0,,,,,,
LOCAL-040703,Aguieiras,0,1,55.0,,13.0,2.0,1.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,,59.0,6.0,,,,,,
LOCAL-040704,Alvites,0,3,36.0,,7.0,3.0,2.0,,0.0,0.0,0.0,4.0,0.0,0.0,0.0,,,27.0,2.0,,,,,,
LOCAL-040738,Avantos e Romeu,0,0,62.0,,26.0,5.0,1.0,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,,,82.0,4.0,,,,,,
LOCAL-040739,"Avidagos, Navalho e Pereira",8,3,114.0,,30.0,11.0,0.0,,0.0,2.0,0.0,3.0,1.0,0.0,1.0,,,79.0,3.0,,,,,,
LOCAL-040740,"Barcel, Marmelos e Valverde da Gestosa",4,4,82.0,,31.0,4.0,1.0,,2.0,0.0,0.0,4.0,0.0,0.0,1.0,,,57.0,1.0,,,,,,
LOCAL-040708,Bouça,3,0,44.0,,12.0,2.0,3.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,77.0,3.0,,,,,,
LOCAL-040709,Cabanelas,1,1,53.0,,15.0,2.0,3.0,,2.0,0.0,1.0,0.0,0.0,0.0,0.0,,,81.0,9.0,,,,,,
LOCAL-040710,Caravelas,1,0,39.0,,14.0,4.0,1.0,,1.0,2.0,0.0,2.0,0.0,1.0,1.0,,,33.0,7.0,,,,,,
LOCAL-040711,Carvalhais,7,4,225.0,,84.0,25.0,4.0,,3.0,4.0,2.0,29.0,0.0,0.0,1.0,,,182.0,13.0,,,,,,
LOCAL-040712,Cedães,6,0,73.0,,14.0,0.0,2.0,,0.0,1.0,0.0,8.0,0.0,0.0,0.0,,,50.0,8.0,,,,,,
LOCAL-040713,Cobro,2,1,26.0,,8.0,0.0,1.0,,4.0,1.0,0.0,2.0,0.0,0.0,0.0,,,59.0,5.0,,,,,,
LOCAL-040714,Fradizela,1,0,58.0,,11.0,1.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,46.0,3.0,,,,,,
LOCAL-040741,Franco e Vila Boa,3,0,58.0,,25.0,1.0,1.0,,1.0,0.0,0.0,2.0,0.0,0.0,1.0,,,71.0,3.0,,,,,,
LOCAL-040716,Frechas,4,8,224.0,,39.0,10.0,4.0,,0.0,5.0,3.0,11.0,0.0,0.0,0.0,,,144.0,15.0,,,,,,
LOCAL-040742,Freixeda e Vila Verde,0,0,32.0,,5.0,0.0,1.0,,0.0,2.0,1.0,4.0,1.0,1.0,0.0,,,45.0,1.0,,,,,,
LOCAL-040718,Lamas de Orelhão,5,0,59.0,,34.0,0.0,2.0,,2.0,2.0,1.0,1.0,0.0,0.0,1.0,,,150.0,11.0,,,,,,
LOCAL-040720,Mascarenhas,3,0,141.0,,27.0,7.0,3.0,,2.0,0.0,2.0,12.0,0.0,0.0,0.0,,,75.0,40.0,,,,,,
LOCAL-040721,Mirandela,55,44,2074.0,,661.0,153.0,145.0,,45.0,32.0,27.0,131.0,3.0,5.0,6.0,,,2062.0,138.0,,,,,,
LOCAL-040722,Múrias,4,0,52.0,,14.0,0.0,0.0,,1.0,0.0,0.0,2.0,0.0,0.0,0.0,,,54.0,6.0,,,,,,
LOCAL-040724,Passos,3,2,79.0,,29.0,5.0,1.0,,1.0,3.0,1.0,2.0,0.0,0.0,0.0,,,75.0,7.0,,,,,,
LOCAL-040727,São Pedro Velho,2,0,49.0,,10.0,3.0,0.0,,1.0,1.0,0.0,2.0,0.0,0.0,0.0,,,90.0,6.0,,,,,,
LOCAL-040728,São Salvador,0,4,45.0,,11.0,1.0,1.0,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,48.0,1.0,,,,,,
LOCAL-040729,Suçães,3,5,120.0,,32.0,6.0,0.0,,0.0,3.0,0.0,3.0,0.0,0.0,0.0,,,132.0,5.0,,,,,,
LOCAL-040730,Torre de Dona Chama,4,2,179.0,,44.0,3.0,5.0,,1.0,2.0,1.0,2.0,1.0,0.0,1.0,,,180.0,12.0,,,,,,
LOCAL-040731,Vale de Asnes,3,1,39.0,,15.0,2.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,57.0,6.0,,,,,,
LOCAL-040732,Vale de Gouvinhas,1,1,41.0,,22.0,1.0,1.0,,0.0,1.0,0.0,3.0,3.0,0.0,0.0,,,44.0,7.0,,,,,,
LOCAL-040733,Vale de Salgueiro,4,2,69.0,,22.0,1.0,3.0,,0.0,1.0,1.0,3.0,1.0,0.0,0.0,,,116.0,8.0,,,,,,
LOCAL-040734,Vale de Telhas,1,1,65.0,,12.0,3.0,0.0,,0.0,2.0,0.0,2.0,0.0,0.0,0.0,,,34.0,5.0,,,,,,
LOCAL-040801,Azinhoso,1,0,48.0,,7.0,5.0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,1.0,,,83.0,3.0,,,,,,
LOCAL-040802,Bemposta,3,0,123.0,,37.0,7.0,4.0,,4.0,0.0,1.0,1.0,0.0,0.0,1.0,,,124.0,6.0,,,,,,
LOCAL-040803,Bruçó,3,2,31.0,,3.0,2.0,2.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,47.0,4.0,,,,,,
LOCAL-040804,Brunhoso,2,0,35.0,,0.0,2.0,0.0,,0.0,0.0,1.0,2.0,1.0,0.0,0.0,,,68.0,1.0,,,,,,
LOCAL-040829,"Brunhozinho, Castanheira e Sanhoane",2,1,45.0,,16.0,2.0,4.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,85.0,5.0,,,,,,
LOCAL-040807,Castelo Branco,4,1,96.0,,22.0,5.0,2.0,,3.0,1.0,0.0,5.0,3.0,1.0,0.0,,,98.0,5.0,,,,,,
LOCAL-040808,Castro Vicente,1,2,66.0,,19.0,1.0,2.0,,0.0,1.0,0.0,2.0,0.0,0.0,0.0,,,78.0,1.0,,,,,,
LOCAL-040809,Meirinhos,1,2,85.0,,13.0,2.0,0.0,,2.0,1.0,2.0,0.0,0.0,1.0,1.0,,,45.0,2.0,,,,,,
LOCAL-040830,"Mogadouro, Valverde, Vale de Porco e Vilar de Rei",28,11,600.0,,185.0,38.0,15.0,,13.0,4.0,8.0,9.0,2.0,0.0,0.0,,,903.0,34.0,,,,,,
LOCAL-040811,Paradela,1,1,42.0,,4.0,2.0,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,46.0,0.0,,,,,,
LOCAL-040812,Penas Roias,1,0,71.0,,13.0,2.0,3.0,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,,,105.0,7.0,,,,,,
LOCAL-040813,Peredo da Bemposta,2,0,24.0,,11.0,3.0,0.0,,1.0,2.0,0.0,0.0,1.0,0.0,0.0,,,99.0,4.0,,,,,,
LOCAL-040831,Remondes e Soutelo,6,0,58.0,,23.0,0.0,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,99.0,6.0,,,,,,
LOCAL-040815,Saldanha,1,0,12.0,,6.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,68.0,3.0,,,,,,
LOCAL-040817,São Martinho do Peso,5,0,48.0,,16.0,2.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,79.0,3.0,,,,,,
LOCAL-040819,Tó,0,1,26.0,,16.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,72.0,4.0,,,,,,
LOCAL-040820,Travanca,0,3,28.0,,4.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,46.0,5.0,,,,,,
LOCAL-040821,Urrós,6,4,69.0,,10.0,2.0,1.0,,2.0,1.0,0.0,1.0,0.0,0.0,1.0,,,94.0,6.0,,,,,,
LOCAL-040822,Vale da Madre,1,1,18.0,,9.0,4.0,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,44.0,1.0,,,,,,
LOCAL-040826,Vila de Ala,1,1,20.0,,17.0,1.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,84.0,4.0,,,,,,
LOCAL-040832,Vilarinho dos Galegos e Ventozelo,6,4,91.0,,27.0,3.0,3.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,,75.0,5.0,,,,,,
LOCAL-040901,Açoreira,2,1,101.0,,15.0,3.0,2.0,,1.0,0.0,0.0,2.0,0.0,0.0,0.0,,,55.0,1.0,,,,,,
LOCAL-040918,Adeganha e Cardanha,2,0,87.0,,21.0,8.0,1.0,,1.0,0.0,0.0,4.0,0.0,0.0,2.0,,,112.0,7.0,,,,,,
LOCAL-040903,Cabeça Boa,6,1,64.0,,12.0,1.0,3.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,69.0,4.0,,,,,,
LOCAL-040905,Carviçais,3,1,124.0,,32.0,9.0,1.0,,3.0,3.0,3.0,4.0,0.0,1.0,2.0,,,142.0,9.0,,,,,,
LOCAL-040906,Castedo,0,1,33.0,,13.0,2.0,0.0,,0.0,3.0,0.0,2.0,0.0,0.0,0.0,,,35.0,0.0,,,,,,
LOCAL-040919,Felgar e Souto da Velha,3,3,220.0,,41.0,10.0,3.0,,1.0,0.0,0.0,10.0,1.0,0.0,0.0,,,164.0,11.0,,,,,,
LOCAL-040920,Felgueiras e Maçores,0,1,105.0,,10.0,6.0,1.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,75.0,6.0,,,,,,
LOCAL-040909,Horta da Vilariça,2,1,35.0,,12.0,2.0,3.0,,0.0,2.0,0.0,1.0,1.0,0.0,1.0,,,53.0,0.0,,,,,,
LOCAL-040910,Larinho,3,0,90.0,,16.0,6.0,1.0,,1.0,1.0,1.0,3.0,0.0,0.0,1.0,,,50.0,10.0,,,,,,
